https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,tradecount
1647302400000,2022-03-15 00:00:00,AXS/USDT,47.85000000,48.99000000,45.87000000,46.90000000,425998.16000000,20055739.15390000,63908
1647216000000,2022-03-14 00:00:00,AXS/USDT,45.22000000,48.09000000,44.63000000,47.84000000,536933.14000000,25084217.40980000,73778
1647129600000,2022-03-13 00:00:00,AXS/USDT,46.59000000,48.10000000,44.97000000,45.19000000,309888.64000000,14472645.57930000,49382
1647043200000,2022-03-12 00:00:00,AXS/USDT,45.91000000,48.62000000,45.81000000,46.60000000,339811.67000000,16025684.00770000,55095
1646956800000,2022-03-11 00:00:00,AXS/USDT,46.76000000,48.25000000,45.16000000,45.90000000,517495.51000000,24119116.82750000,73206
1646870400000,2022-03-10 00:00:00,AXS/USDT,48.65000000,48.99000000,45.00000000,46.77000000,636567.81000000,29628295.85900000,86820
1646784000000,2022-03-09 00:00:00,AXS/USDT,46.42000000,49.47000000,46.19000000,48.65000000,738163.68000000,35712267.62720000,95575
1646697600000,2022-03-08 00:00:00,AXS/USDT,46.17000000,47.63000000,45.72000000,46.42000000,631357.49000000,29492423.88090000,97483
1646611200000,2022-03-07 00:00:00,AXS/USDT,48.90000000,50.15000000,45.67000000,46.16000000,921173.11000000,43740619.77260000,122813
1646524800000,2022-03-06 00:00:00,AXS/USDT,51.87000000,52.34000000,48.51000000,48.89000000,505564.79000000,25351230.20050000,75883
1646438400000,2022-03-05 00:00:00,AXS/USDT,49.78000000,53.10000000,48.71000000,51.89000000,561061.32000000,28669587.80330000,98859
1646352000000,2022-03-04 00:00:00,AXS/USDT,53.31000000,53.41000000,48.92000000,49.79000000,713310.44000000,36549232.38090000,109864
1646265600000,2022-03-03 00:00:00,AXS/USDT,55.53000000,55.85000000,51.79000000,53.31000000,658924.64000000,35564026.05790000,97011
1646179200000,2022-03-02 00:00:00,AXS/USDT,57.16000000,59.00000000,54.41000000,55.53000000,1206036.38000000,67930122.69170000,159652
1646092800000,2022-03-01 00:00:00,AXS/USDT,54.37000000,61.32000000,53.33000000,57.14000000,1625038.56000000,92103870.67060000,219020
1646006400000,2022-02-28 00:00:00,AXS/USDT,47.99000000,57.02000000,47.09000000,54.39000000,1103042.38000000,56314128.87460000,142131
1645920000000,2022-02-27 00:00:00,AXS/USDT,50.39000000,51.97000000,46.73000000,47.99000000,727455.13000000,35768661.72910000,101541
1645833600000,2022-02-26 00:00:00,AXS/USDT,51.18000000,52.94000000,49.94000000,50.40000000,509182.21000000,25933866.44510000,74571
1645747200000,2022-02-25 00:00:00,AXS/USDT,48.76000000,51.99000000,46.26000000,51.16000000,1289618.86000000,63215006.25740000,156042
1645660800000,2022-02-24 00:00:00,AXS/USDT,48.76000000,49.97000000,41.90000000,48.76000000,2062804.33000000,93095764.64860000,230853
1645574400000,2022-02-23 00:00:00,AXS/USDT,51.09000000,53.47000000,48.56000000,48.74000000,802562.45000000,41069115.20570000,99324
1645488000000,2022-02-22 00:00:00,AXS/USDT,47.36000000,51.25000000,46.00000000,51.09000000,1054160.58000000,51387923.23520000,123361
1645401600000,2022-02-21 00:00:00,AXS/USDT,52.13000000,56.06000000,47.16000000,47.39000000,1309401.75000000,69060442.86470000,168310
1645315200000,2022-02-20 00:00:00,AXS/USDT,54.82000000,54.92000000,49.63000000,52.13000000,623240.73000000,32293510.95520000,103349
1645228800000,2022-02-19 00:00:00,AXS/USDT,55.53000000,56.94000000,53.52000000,54.83000000,387170.40000000,21431403.49030000,68664
1645142400000,2022-02-18 00:00:00,AXS/USDT,56.39000000,58.09000000,53.77000000,55.53000000,843263.96000000,47458310.49060000,133367
1645056000000,2022-02-17 00:00:00,AXS/USDT,63.44000000,64.58000000,55.78000000,56.38000000,856366.41000000,51064606.88420000,124313
1644969600000,2022-02-16 00:00:00,AXS/USDT,63.27000000,66.21000000,61.77000000,63.46000000,1021473.50000000,65585899.14000000,157629
1644883200000,2022-02-15 00:00:00,AXS/USDT,56.85000000,63.87000000,56.77000000,63.29000000,867168.38000000,52235958.37510000,115380
1644796800000,2022-02-14 00:00:00,AXS/USDT,58.03000000,58.26000000,55.08000000,56.83000000,518219.76000000,29365464.22940000,78277
1644710400000,2022-02-13 00:00:00,AXS/USDT,59.15000000,60.58000000,56.89000000,58.08000000,421835.07000000,24859918.43100000,65192
1644624000000,2022-02-12 00:00:00,AXS/USDT,59.03000000,61.56000000,56.60000000,59.19000000,751987.82000000,44703499.56440000,115679
1644537600000,2022-02-11 00:00:00,AXS/USDT,63.28000000,64.95000000,56.70000000,59.03000000,1088675.84000000,67215906.55010000,158325
1644451200000,2022-02-10 00:00:00,AXS/USDT,67.58000000,68.30000000,62.43000000,63.27000000,1361321.97000000,89361992.01850000,213874
1644364800000,2022-02-09 00:00:00,AXS/USDT,66.72000000,68.08000000,63.09000000,67.61000000,970319.99000000,63998304.75250000,161647
1644278400000,2022-02-08 00:00:00,AXS/USDT,68.40000000,69.29000000,62.20000000,66.72000000,1528803.17000000,100265334.85460000,248201
1644192000000,2022-02-07 00:00:00,AXS/USDT,68.26000000,72.00000000,66.72000000,68.38000000,2050686.30000000,141953504.75530000,293884
1644105600000,2022-02-06 00:00:00,AXS/USDT,56.76000000,68.89000000,56.76000000,68.20000000,2745960.72000000,173901455.51360000,355434
1644019200000,2022-02-05 00:00:00,AXS/USDT,51.37000000,59.48000000,50.81000000,56.77000000,1987776.50000000,110478949.50260000,290723
1643932800000,2022-02-04 00:00:00,AXS/USDT,48.40000000,51.69000000,47.55000000,51.35000000,1076490.63000000,52956859.02050000,161493
1643846400000,2022-02-03 00:00:00,AXS/USDT,49.09000000,49.27000000,46.01000000,48.42000000,1530052.32000000,72295747.26920000,232540
1643760000000,2022-02-02 00:00:00,AXS/USDT,53.39000000,55.00000000,48.20000000,49.06000000,1066381.73000000,55030719.46790000,154459
