https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1637020800000,2021-11-16 00:00:00,BAT/USDT,1.1454,1.1565,0.9594,1.0635,140574080.3,151443637.28403,480963
1636934400000,2021-11-15 00:00:00,BAT/USDT,1.1488,1.2370,1.1301,1.1454,107073104.4,126817507.16437,415298
1636848000000,2021-11-14 00:00:00,BAT/USDT,1.1428,1.1825,1.1200,1.1487,41769145.1,48249630.85968,186270
1636761600000,2021-11-13 00:00:00,BAT/USDT,1.1694,1.2336,1.1373,1.1428,74161776.9,88027701.33319,287012
1636675200000,2021-11-12 00:00:00,BAT/USDT,1.1182,1.2320,1.1015,1.1700,146686725.5,170148600.03509,504525
1636588800000,2021-11-11 00:00:00,BAT/USDT,1.0815,1.1627,1.0581,1.1182,80980709.3,89705157.93093,318023
1636502400000,2021-11-10 00:00:00,BAT/USDT,1.1716,1.1863,1.0097,1.0815,141723971.8,160090328.74961,449933
1636416000000,2021-11-09 00:00:00,BAT/USDT,1.2764,1.3853,1.1623,1.1715,504040176.1,641653411.72822,1391951
1636329600000,2021-11-08 00:00:00,BAT/USDT,0.9997,1.2874,0.9650,1.2765,392985074.7,454336788.68799,1043045
1636243200000,2021-11-07 00:00:00,BAT/USDT,1.0121,1.0313,0.9826,0.9997,33121696.0,33046415.93617,125577
1636156800000,2021-11-06 00:00:00,BAT/USDT,0.9690,1.0192,0.9518,1.0117,73499354.9,73003546.63321,243321
1636070400000,2021-11-05 00:00:00,BAT/USDT,0.9774,1.0374,0.9502,0.9696,71315958.1,70904945.55071,235440
1635984000000,2021-11-04 00:00:00,BAT/USDT,0.9709,1.0311,0.9308,0.9775,92430167.0,90067900.88152,268516
1635897600000,2021-11-03 00:00:00,BAT/USDT,1.0347,1.0407,0.9353,0.9707,86082775.4,84649288.43095,268738
1635811200000,2021-11-02 00:00:00,BAT/USDT,1.0215,1.1222,1.0072,1.0351,115202180.7,120859635.24759,348210
1635724800000,2021-11-01 00:00:00,BAT/USDT,0.9969,1.0919,0.9600,1.0221,200032325.7,203923534.26747,506476
1635638400000,2021-10-31 00:00:00,BAT/USDT,1.2442,1.4490,0.9612,0.9968,441145384.1,514076178.20566,1202839
1635552000000,2021-10-30 00:00:00,BAT/USDT,0.8537,1.4724,0.7882,1.2443,730066918.3,840266623.52913,2142777
1635465600000,2021-10-29 00:00:00,BAT/USDT,0.6945,0.9100,0.6921,0.8536,367698159.9,305573879.01682,792642
1635379200000,2021-10-28 00:00:00,BAT/USDT,0.6379,0.7029,0.6315,0.6945,47887369.4,32048507.22054,156695
1635292800000,2021-10-27 00:00:00,BAT/USDT,0.7135,0.7329,0.6239,0.6378,64285551.5,43059304.43540,178436
1635206400000,2021-10-26 00:00:00,BAT/USDT,0.7047,0.7477,0.7011,0.7133,49935716.1,36015229.53945,154103
1635120000000,2021-10-25 00:00:00,BAT/USDT,0.6891,0.7053,0.6848,0.7046,24469159.1,17023117.33788,88280
1635033600000,2021-10-24 00:00:00,BAT/USDT,0.7135,0.7210,0.6776,0.6891,32182456.4,22451085.39708,135153
1634947200000,2021-10-23 00:00:00,BAT/USDT,0.6990,0.7184,0.6920,0.7135,23776044.2,16818876.10969,97438
1634860800000,2021-10-22 00:00:00,BAT/USDT,0.6915,0.7173,0.6887,0.6990,26110812.2,18357887.17632,100867
1634774400000,2021-10-21 00:00:00,BAT/USDT,0.7125,0.7306,0.6850,0.6915,47944244.7,34005708.63145,146989
1634688000000,2021-10-20 00:00:00,BAT/USDT,0.6810,0.7138,0.6728,0.7123,31116270.5,21584222.87610,104171
1634601600000,2021-10-19 00:00:00,BAT/USDT,0.6818,0.6996,0.6731,0.6810,32345236.1,22213863.11370,110063
1634515200000,2021-10-18 00:00:00,BAT/USDT,0.6911,0.6955,0.6718,0.6818,22893585.4,15664067.88138,99009
1634428800000,2021-10-17 00:00:00,BAT/USDT,0.7182,0.7195,0.6705,0.6909,30701723.8,21452441.60958,102698
1634342400000,2021-10-16 00:00:00,BAT/USDT,0.6931,0.7420,0.6901,0.7182,47204766.0,33606996.92319,146673
