https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USDT,tradecount
1645142400000,2022-02-18 00:00:00,COMP/USDT,122.80000000,126.30000000,118.30000000,121.20000000,22355.44900000,2738390.51700000,15917
1645056000000,2022-02-17 00:00:00,COMP/USDT,135.90000000,137.90000000,121.20000000,122.90000000,40139.92500000,5219580.77460000,25166
1644969600000,2022-02-16 00:00:00,COMP/USDT,136.20000000,137.70000000,129.40000000,136.00000000,36805.13000000,4931794.18890000,19091
1644883200000,2022-02-15 00:00:00,COMP/USDT,126.00000000,136.70000000,125.90000000,136.10000000,30360.83900000,4025965.98890000,19344
1644796800000,2022-02-14 00:00:00,COMP/USDT,124.10000000,127.70000000,120.80000000,125.90000000,20034.08800000,2484327.10770000,15018
1644710400000,2022-02-13 00:00:00,COMP/USDT,127.80000000,130.00000000,122.60000000,124.10000000,18615.59600000,2363671.90180000,13180
1644624000000,2022-02-12 00:00:00,COMP/USDT,125.50000000,131.20000000,122.40000000,127.80000000,34034.78800000,4321268.86660000,21070
1644537600000,2022-02-11 00:00:00,COMP/USDT,133.30000000,137.80000000,123.20000000,125.50000000,61415.68400000,8114887.59870000,35670
1644451200000,2022-02-10 00:00:00,COMP/USDT,145.10000000,146.50000000,132.60000000,133.20000000,83404.23200000,11631199.08460000,48393
1644364800000,2022-02-09 00:00:00,COMP/USDT,147.00000000,148.40000000,140.60000000,145.00000000,56721.20500000,8209721.50120000,30251
1644278400000,2022-02-08 00:00:00,COMP/USDT,149.30000000,153.00000000,136.20000000,146.90000000,93213.66500000,13390370.89500000,56143
1644192000000,2022-02-07 00:00:00,COMP/USDT,141.00000000,149.40000000,136.30000000,149.40000000,65626.97300000,9439397.40920000,39620
1644105600000,2022-02-06 00:00:00,COMP/USDT,136.20000000,143.20000000,133.60000000,141.00000000,53386.49000000,7363140.73490000,31182
1644019200000,2022-02-05 00:00:00,COMP/USDT,135.40000000,142.30000000,132.20000000,136.20000000,75404.87300000,10373109.32720000,38174
1643932800000,2022-02-04 00:00:00,COMP/USDT,124.70000000,135.50000000,123.80000000,135.20000000,60035.60100000,7882913.19490000,38135
1643846400000,2022-02-03 00:00:00,COMP/USDT,119.90000000,125.20000000,116.70000000,124.80000000,34190.41700000,4110123.92920000,22265
1643760000000,2022-02-02 00:00:00,COMP/USDT,126.20000000,131.20000000,119.20000000,119.90000000,49375.52700000,6177221.97730000,29732
1643673600000,2022-02-01 00:00:00,COMP/USDT,121.70000000,129.90000000,121.40000000,126.00000000,53105.85600000,6691142.01120000,29322
1643587200000,2022-01-31 00:00:00,COMP/USDT,117.70000000,123.00000000,112.80000000,121.80000000,65423.59700000,7633356.11850000,30064
1643500800000,2022-01-30 00:00:00,COMP/USDT,124.00000000,124.40000000,116.30000000,117.80000000,50727.57200000,6134069.02290000,22535
1643414400000,2022-01-29 00:00:00,COMP/USDT,122.60000000,126.90000000,121.70000000,124.00000000,48438.76900000,5996631.64270000,21639
1643328000000,2022-01-28 00:00:00,COMP/USDT,123.30000000,126.00000000,118.50000000,122.60000000,51428.86100000,6289429.51450000,26621
1643241600000,2022-01-27 00:00:00,COMP/USDT,125.50000000,129.70000000,118.60000000,123.30000000,52078.27100000,6430156.70030000,29835
1643155200000,2022-01-26 00:00:00,COMP/USDT,126.70000000,136.70000000,122.70000000,125.40000000,60928.96300000,7977581.86980000,39389
1643068800000,2022-01-25 00:00:00,COMP/USDT,124.70000000,128.00000000,121.30000000,126.60000000,36766.24400000,4589146.34510000,26019
1642982400000,2022-01-24 00:00:00,COMP/USDT,128.20000000,128.20000000,109.30000000,124.50000000,81972.32600000,9666742.24630000,57191
1642896000000,2022-01-23 00:00:00,COMP/USDT,123.00000000,131.00000000,121.30000000,128.40000000,46730.10700000,5884161.71610000,33196
1642809600000,2022-01-22 00:00:00,COMP/USDT,139.10000000,141.80000000,110.20000000,123.00000000,110857.34900000,13735765.30486800,83684
1642723200000,2022-01-21 00:00:00,COMP/USDT,161.10000000,162.90000000,135.00000000,139.00000000,71270.83091000,10677034.36893150,52104
1642636800000,2022-01-20 00:00:00,COMP/USDT,168.10000000,177.30000000,160.50000000,161.20000000,33566.19900000,5701202.42680000,26040
1642550400000,2022-01-19 00:00:00,COMP/USDT,180.20000000,181.00000000,166.00000000,168.10000000,48010.48900000,8238773.16670000,31735
