https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1648166400000,2022-03-25 00:00:00,XLM/USDT,0.21482,0.22066,0.21000,0.21102,384600343,82915060.65882,291068
1648080000000,2022-03-24 00:00:00,XLM/USDT,0.20936,0.21664,0.20616,0.21481,314403935,66591436.11896,215375
1647993600000,2022-03-23 00:00:00,XLM/USDT,0.20676,0.21150,0.20415,0.20933,223652174,46390290.86135,163404
1647907200000,2022-03-22 00:00:00,XLM/USDT,0.20357,0.21306,0.20132,0.20676,294356642,61048693.90554,234043
1647820800000,2022-03-21 00:00:00,XLM/USDT,0.19722,0.20419,0.19230,0.20357,257607142,51222570.70310,178764
1647734400000,2022-03-20 00:00:00,XLM/USDT,0.20032,0.20213,0.19167,0.19714,216421024,42639120.00193,155417
1647648000000,2022-03-19 00:00:00,XLM/USDT,0.19272,0.20070,0.19042,0.20033,217441911,42588406.93873,165609
1647561600000,2022-03-18 00:00:00,XLM/USDT,0.18945,0.19361,0.18500,0.19267,232174146,43883045.82886,163176
1647475200000,2022-03-17 00:00:00,XLM/USDT,0.18914,0.19146,0.18502,0.18947,222145370,41913742.49810,150185
1647388800000,2022-03-16 00:00:00,XLM/USDT,0.18245,0.18964,0.18038,0.18919,293848426,54103959.23636,196069
1647302400000,2022-03-15 00:00:00,XLM/USDT,0.17988,0.18368,0.17560,0.18244,275032584,49445587.46961,175261
1647216000000,2022-03-14 00:00:00,XLM/USDT,0.17622,0.18092,0.17306,0.17986,277193344,49131471.79986,166998
1647129600000,2022-03-13 00:00:00,XLM/USDT,0.18489,0.18887,0.17551,0.17627,286006010,52689398.80539,205172
1647043200000,2022-03-12 00:00:00,XLM/USDT,0.18335,0.19000,0.18184,0.18488,403360875,74711013.63142,279999
1646956800000,2022-03-11 00:00:00,XLM/USDT,0.17840,0.18551,0.17230,0.18338,455917885,81257970.33991,276298
1646870400000,2022-03-10 00:00:00,XLM/USDT,0.18861,0.19165,0.17250,0.17840,374235482,67248228.70028,248251
1646784000000,2022-03-09 00:00:00,XLM/USDT,0.17300,0.19018,0.17207,0.18864,389957825,71368242.20947,262794
1646697600000,2022-03-08 00:00:00,XLM/USDT,0.16953,0.17407,0.16784,0.17299,267355162,45762794.44008,199304
1646611200000,2022-03-07 00:00:00,XLM/USDT,0.17263,0.17854,0.16633,0.16954,389209415,67078352.31980,247749
1646524800000,2022-03-06 00:00:00,XLM/USDT,0.18012,0.18138,0.17165,0.17262,260773974,45938196.82804,191662
1646438400000,2022-03-05 00:00:00,XLM/USDT,0.17581,0.18053,0.17120,0.18016,238312625,42063598.05856,196954
1646352000000,2022-03-04 00:00:00,XLM/USDT,0.18763,0.18861,0.17334,0.17581,244548275,44159646.98727,191050
1646265600000,2022-03-03 00:00:00,XLM/USDT,0.19330,0.19503,0.18444,0.18765,226337099,42984586.49929,175608
1646179200000,2022-03-02 00:00:00,XLM/USDT,0.19869,0.19933,0.19105,0.19329,258319391,50292237.79913,190849
1646092800000,2022-03-01 00:00:00,XLM/USDT,0.19738,0.20288,0.19252,0.19867,378429474,74892008.54816,230079
1646006400000,2022-02-28 00:00:00,XLM/USDT,0.18077,0.19813,0.17709,0.19739,362171081,67592617.40736,236073
1645920000000,2022-02-27 00:00:00,XLM/USDT,0.19274,0.19411,0.17814,0.18083,288690807,53787810.74769,207132
1645833600000,2022-02-26 00:00:00,XLM/USDT,0.19072,0.20577,0.18934,0.19274,353355423,68774208.01030,229122
1645747200000,2022-02-25 00:00:00,XLM/USDT,0.18219,0.19198,0.17755,0.19075,342198886,63023347.61770,219888
1645660800000,2022-02-24 00:00:00,XLM/USDT,0.18147,0.18617,0.16139,0.18219,779795766,133306611.70632,402934
1645574400000,2022-02-23 00:00:00,XLM/USDT,0.18542,0.19358,0.18102,0.18146,337575795,63524991.40736,205084
1645488000000,2022-02-22 00:00:00,XLM/USDT,0.17780,0.18693,0.17220,0.18544,317497548,57217894.94968,211469
1645401600000,2022-02-21 00:00:00,XLM/USDT,0.19432,0.20071,0.17496,0.17779,588764501,112680558.78110,302806
1645315200000,2022-02-20 00:00:00,XLM/USDT,0.20400,0.20599,0.19277,0.19432,411931507,81606359.98363,217490
1645228800000,2022-02-19 00:00:00,XLM/USDT,0.20024,0.21103,0.19625,0.20400,509071130,103956139.80605,272940
1645142400000,2022-02-18 00:00:00,XLM/USDT,0.20208,0.20861,0.19508,0.20032,267257644,53803045.52673,181736
1645056000000,2022-02-17 00:00:00,XLM/USDT,0.21857,0.22618,0.20046,0.20206,388662065,83559693.36215,280676
1644969600000,2022-02-16 00:00:00,XLM/USDT,0.22071,0.22149,0.21308,0.21857,211286282,46034904.02631,170724
1644883200000,2022-02-15 00:00:00,XLM/USDT,0.21051,0.22200,0.20920,0.22068,260399351,56428950.66127,194067
1644796800000,2022-02-14 00:00:00,XLM/USDT,0.21010,0.21384,0.20519,0.21051,234799013,49137015.21097,196114
1644710400000,2022-02-13 00:00:00,XLM/USDT,0.21806,0.22170,0.21004,0.21010,225298185,48726017.31223,194448
1644624000000,2022-02-12 00:00:00,XLM/USDT,0.21521,0.22427,0.21080,0.21811,266983010,58095266.06796,228921
1644537600000,2022-02-11 00:00:00,XLM/USDT,0.23137,0.23138,0.21231,0.21521,301408667,67875396.56358,251696
1644451200000,2022-02-10 00:00:00,XLM/USDT,0.23843,0.24263,0.22810,0.23138,385134419,90773324.02063,269740
1644364800000,2022-02-09 00:00:00,XLM/USDT,0.24206,0.24385,0.23388,0.23848,359907330,86183472.79277,258586
1644278400000,2022-02-08 00:00:00,XLM/USDT,0.23939,0.25677,0.23250,0.24202,684118420,165941125.71871,476402
1644192000000,2022-02-07 00:00:00,XLM/USDT,0.22358,0.24172,0.21870,0.23924,499161915,116159173.50831,338834
1644105600000,2022-02-06 00:00:00,XLM/USDT,0.21296,0.22481,0.21268,0.22355,262826795,57494902.36667,203110
1644019200000,2022-02-05 00:00:00,XLM/USDT,0.20894,0.21637,0.20790,0.21299,253695589,53942445.04576,182656
1643932800000,2022-02-04 00:00:00,XLM/USDT,0.19480,0.20988,0.19336,0.20894,378824516,76071395.10997,212787
1643846400000,2022-02-03 00:00:00,XLM/USDT,0.19283,0.19520,0.18832,0.19482,285799645,54812227.39493,200111
1643760000000,2022-02-02 00:00:00,XLM/USDT,0.20182,0.20587,0.18988,0.19280,343807513,68344444.45303,236564
1643673600000,2022-02-01 00:00:00,XLM/USDT,0.19938,0.20606,0.19868,0.20183,264599422,53716572.16172,181495
1643587200000,2022-01-31 00:00:00,XLM/USDT,0.19500,0.20069,0.18916,0.19942,289164264,56484183.62125,205114
1643500800000,2022-01-30 00:00:00,XLM/USDT,0.20310,0.20651,0.19240,0.19503,238484832,47506253.49661,172382
1643414400000,2022-01-29 00:00:00,XLM/USDT,0.19834,0.20439,0.19731,0.20306,220094795,44282873.59757,166088
1643328000000,2022-01-28 00:00:00,XLM/USDT,0.19374,0.19932,0.18858,0.19835,245682253,47769988.23891,194596
1643241600000,2022-01-27 00:00:00,XLM/USDT,0.19654,0.20115,0.18692,0.19374,309139333,59893822.67579,239150
1643155200000,2022-01-26 00:00:00,XLM/USDT,0.19645,0.20817,0.19101,0.19651,385989875,76948455.04055,266717
1643068800000,2022-01-25 00:00:00,XLM/USDT,0.19756,0.19960,0.18778,0.19638,340689694,66090054.57914,247173
1642982400000,2022-01-24 00:00:00,XLM/USDT,0.20066,0.20074,0.17184,0.19759,637687755,117531070.78562,388865
1642896000000,2022-01-23 00:00:00,XLM/USDT,0.19219,0.20086,0.18755,0.20061,552160246,107021203.78448,319231
1642809600000,2022-01-22 00:00:00,XLM/USDT,0.20262,0.20800,0.16743,0.19209,1041726415,196238467.95545,547310
1642723200000,2022-01-21 00:00:00,XLM/USDT,0.23125,0.23369,0.19762,0.20266,1083531987,237291142.95053,564074
1642636800000,2022-01-20 00:00:00,XLM/USDT,0.24531,0.25245,0.22960,0.23133,551849440,134613126.92289,321103
1642550400000,2022-01-19 00:00:00,XLM/USDT,0.25371,0.25569,0.24324,0.24526,356665844,88738906.79271,248537
1642464000000,2022-01-18 00:00:00,XLM/USDT,0.25591,0.25748,0.24805,0.25371,341506720,86203037.86082,259795
1642377600000,2022-01-17 00:00:00,XLM/USDT,0.25875,0.25968,0.24945,0.25585,280115125,70993531.57297,226212
1642291200000,2022-01-16 00:00:00,XLM/USDT,0.25869,0.26244,0.25420,0.25878,270968054,69978714.00868,218603
1642204800000,2022-01-15 00:00:00,XLM/USDT,0.26397,0.26971,0.25580,0.25875,545073406,142478764.11995,309273
1642118400000,2022-01-14 00:00:00,XLM/USDT,0.26911,0.28022,0.26119,0.26402,622631541,168296679.63852,383977
1642032000000,2022-01-13 00:00:00,XLM/USDT,0.28222,0.29011,0.26833,0.26920,400029351,112479842.86501,297798
1641945600000,2022-01-12 00:00:00,XLM/USDT,0.26272,0.29180,0.26252,0.28222,554110377,154404884.95043,391219
1641859200000,2022-01-11 00:00:00,XLM/USDT,0.25272,0.26347,0.24773,0.26272,287884449,73309406.06440,229260
1641772800000,2022-01-10 00:00:00,XLM/USDT,0.26096,0.26388,0.23740,0.25272,464934838,116050474.75247,308114
1641686400000,2022-01-09 00:00:00,XLM/USDT,0.25495,0.26384,0.25276,0.26101,247351815,63963065.37225,192014
1641600000000,2022-01-08 00:00:00,XLM/USDT,0.25702,0.26438,0.24630,0.25489,367176812,94074120.97819,291475
1641513600000,2022-01-07 00:00:00,XLM/USDT,0.26739,0.26830,0.25068,0.25708,451010066,116808422.40614,355286
1641427200000,2022-01-06 00:00:00,XLM/USDT,0.26609,0.27225,0.25775,0.26739,439994678,117135349.46835,341135
1641340800000,2022-01-05 00:00:00,XLM/USDT,0.27912,0.29514,0.25405,0.26592,542972497,152686209.95987,429559
1641254400000,2022-01-04 00:00:00,XLM/USDT,0.29039,0.29138,0.27831,0.27911,334920224,95006089.61084,248301
1641168000000,2022-01-03 00:00:00,XLM/USDT,0.29205,0.29755,0.28521,0.29033,395009042,115053161.61944,311358
1641081600000,2022-01-02 00:00:00,XLM/USDT,0.27670,0.29220,0.27528,0.29205,286312986,81517983.24915,243605
1640995200000,2022-01-01 00:00:00,XLM/USDT,0.26636,0.27718,0.26582,0.27665,204309041,55398637.64481,169366
1640908800000,2021-12-31 00:00:00,XLM/USDT,0.26788,0.27667,0.25877,0.26625,250826056,67410536.88790,225522
1640822400000,2021-12-30 00:00:00,XLM/USDT,0.26661,0.27518,0.26043,0.26785,265743595,71467045.91222,246351
1640736000000,2021-12-29 00:00:00,XLM/USDT,0.27397,0.27934,0.26446,0.26659,299698118,82074306.69521,278646
1640649600000,2021-12-28 00:00:00,XLM/USDT,0.29856,0.30027,0.27297,0.27396,454091479,129700584.00128,374741
1640563200000,2021-12-27 00:00:00,XLM/USDT,0.29144,0.30577,0.29079,0.29858,284157702,84861115.18335,265557
