https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1652482800000,2022-05-13 23:00:00,DASH/USDT,58.24,58.73,57.27,57.99,17345.862,1006143.29567,6163
1652479200000,2022-05-13 22:00:00,DASH/USDT,59.10,59.75,58.15,58.21,12043.284,709420.70122,4333
1652475600000,2022-05-13 21:00:00,DASH/USDT,58.25,59.17,57.81,59.12,11156.266,653459.69150,3525
1652472000000,2022-05-13 20:00:00,DASH/USDT,58.35,59.08,57.79,58.25,13080.281,764783.76575,4812
1652468400000,2022-05-13 19:00:00,DASH/USDT,59.30,59.30,57.97,58.34,15097.272,885041.23963,5044
1652464800000,2022-05-13 18:00:00,DASH/USDT,58.04,59.42,57.75,59.28,20629.845,1208711.41202,6596
1652461200000,2022-05-13 17:00:00,DASH/USDT,58.85,59.88,57.85,58.03,23030.396,1354273.15934,7106
1652457600000,2022-05-13 16:00:00,DASH/USDT,59.79,60.82,58.78,58.84,24671.288,1468083.53816,8603
1652454000000,2022-05-13 15:00:00,DASH/USDT,61.68,61.87,59.35,59.76,20287.161,1231229.81427,6934
1652450400000,2022-05-13 14:00:00,DASH/USDT,60.36,62.64,60.31,61.68,32858.957,2022865.04525,10473
1652446800000,2022-05-13 13:00:00,DASH/USDT,61.16,61.30,59.60,60.33,37974.551,2290728.57950,11074
1652443200000,2022-05-13 12:00:00,DASH/USDT,61.23,62.11,60.62,61.19,42384.903,2593954.44231,11266
1652439600000,2022-05-13 11:00:00,DASH/USDT,60.32,61.50,59.71,61.19,24962.598,1510609.84594,8592
1652436000000,2022-05-13 10:00:00,DASH/USDT,59.38,60.38,58.46,60.33,21429.323,1269730.88461,7053
1652432400000,2022-05-13 09:00:00,DASH/USDT,58.92,60.37,58.89,59.39,18184.460,1083954.14741,6455
1652428800000,2022-05-13 08:00:00,DASH/USDT,57.57,59.29,57.56,58.92,16743.930,978640.98980,5817
1652425200000,2022-05-13 07:00:00,DASH/USDT,59.42,59.44,57.51,57.56,20282.105,1189145.03500,7220
1652421600000,2022-05-13 06:00:00,DASH/USDT,59.85,60.55,59.18,59.45,18821.822,1126659.45881,5668
1652418000000,2022-05-13 05:00:00,DASH/USDT,59.85,61.56,59.46,59.86,32265.206,1953931.59248,10396
1652414400000,2022-05-13 04:00:00,DASH/USDT,59.99,60.23,58.95,59.82,20178.409,1204124.81611,7082
1652410800000,2022-05-13 03:00:00,DASH/USDT,56.24,60.72,56.15,60.04,46673.356,2738232.04125,13679
1652407200000,2022-05-13 02:00:00,DASH/USDT,55.48,56.55,54.97,56.23,27950.360,1561162.46354,8460
1652403600000,2022-05-13 01:00:00,DASH/USDT,54.96,55.97,54.65,55.48,20449.095,1131545.36038,6553
1652400000000,2022-05-13 00:00:00,DASH/USDT,53.77,55.03,52.62,54.97,22740.994,1221068.55220,6663
1652396400000,2022-05-12 23:00:00,DASH/USDT,53.47,54.61,53.33,53.76,21421.007,1154178.98821,5344
1652392800000,2022-05-12 22:00:00,DASH/USDT,53.66,54.19,52.92,53.47,16305.234,872536.24694,5305
1652389200000,2022-05-12 21:00:00,DASH/USDT,54.24,54.42,52.60,53.64,16493.330,883821.98334,5984
1652385600000,2022-05-12 20:00:00,DASH/USDT,54.62,55.06,53.91,54.24,16075.059,877378.53243,5613
1652382000000,2022-05-12 19:00:00,DASH/USDT,53.77,54.88,53.63,54.63,25273.478,1374087.67987,8687
1652378400000,2022-05-12 18:00:00,DASH/USDT,55.35,55.84,53.54,53.78,22829.441,1247519.12354,7535
1652374800000,2022-05-12 17:00:00,DASH/USDT,57.78,57.96,55.15,55.37,31056.765,1751906.05432,9136
1652371200000,2022-05-12 16:00:00,DASH/USDT,55.15,58.12,54.98,57.74,48981.860,2788936.74543,14684
1652367600000,2022-05-12 15:00:00,DASH/USDT,54.50,56.21,54.08,55.20,53615.379,2969550.82727,15457
1652364000000,2022-05-12 14:00:00,DASH/USDT,51.14,54.62,50.73,54.49,53384.435,2809872.77755,15451
1652360400000,2022-05-12 13:00:00,DASH/USDT,52.32,53.13,50.72,51.15,45633.331,2369784.48455,13812
1652356800000,2022-05-12 12:00:00,DASH/USDT,51.71,52.62,50.29,52.30,45379.267,2338778.46668,14300
1652353200000,2022-05-12 11:00:00,DASH/USDT,51.73,53.60,51.26,51.72,65191.902,3400693.40366,20608
1652349600000,2022-05-12 10:00:00,DASH/USDT,47.70,52.31,47.08,51.77,82841.727,4120626.57587,23420
1652346000000,2022-05-12 09:00:00,DASH/USDT,48.56,49.46,47.50,47.64,62591.456,3042452.40330,17153
1652342400000,2022-05-12 08:00:00,DASH/USDT,49.98,50.68,47.95,48.55,60052.905,2958561.85179,16967
1652338800000,2022-05-12 07:00:00,DASH/USDT,47.09,50.99,44.81,49.94,121942.724,5879331.30769,31959
1652335200000,2022-05-12 06:00:00,DASH/USDT,48.11,50.79,47.03,47.13,102980.492,5029321.33360,26097
1652331600000,2022-05-12 05:00:00,DASH/USDT,49.78,49.90,45.64,48.07,177830.720,8494517.05069,42547
1652328000000,2022-05-12 04:00:00,DASH/USDT,53.12,53.47,49.44,49.73,111586.904,5744236.76238,33959
1652324400000,2022-05-12 03:00:00,DASH/USDT,55.95,56.47,53.07,53.07,58672.153,3230419.82278,19232
1652320800000,2022-05-12 02:00:00,DASH/USDT,57.81,58.70,55.69,55.94,50170.067,2874521.41005,15519
1652317200000,2022-05-12 01:00:00,DASH/USDT,60.24,61.20,57.63,57.84,31525.514,1871765.21428,10776
