https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1614312000000,2021-02-26 04:00:00,XMR/USDT,203.34,208.10,203.34,205.12,9355.435,1922623.60762,5797
1614308400000,2021-02-26 03:00:00,XMR/USDT,199.76,204.91,199.01,203.24,10363.988,2096057.66838,5987
1614304800000,2021-02-26 02:00:00,XMR/USDT,196.73,201.72,195.00,199.77,8580.771,1707543.54834,6382
1614301200000,2021-02-26 01:00:00,XMR/USDT,198.34,200.96,195.70,196.72,9665.636,1920387.24329,7012
1614297600000,2021-02-26 00:00:00,XMR/USDT,198.29,200.65,193.51,198.23,18372.355,3609990.86752,12164
1614294000000,2021-02-25 23:00:00,XMR/USDT,199.52,203.54,195.94,198.39,12935.675,2576453.65806,9059
1614290400000,2021-02-25 22:00:00,XMR/USDT,200.42,204.11,197.20,199.47,10804.428,2162385.97630,8013
1614286800000,2021-02-25 21:00:00,XMR/USDT,203.88,205.26,199.94,200.45,12540.296,2540918.54607,6231
1614283200000,2021-02-25 20:00:00,XMR/USDT,205.14,205.32,201.17,203.97,7471.383,1517218.29718,5475
1614279600000,2021-02-25 19:00:00,XMR/USDT,204.89,206.55,203.02,205.11,9405.564,1930378.99032,4543
1614276000000,2021-02-25 18:00:00,XMR/USDT,205.60,206.96,202.12,204.85,9278.639,1904270.85067,5194
1614272400000,2021-02-25 17:00:00,XMR/USDT,210.41,210.77,203.80,205.48,13310.542,2747046.92560,7196
1614268800000,2021-02-25 16:00:00,XMR/USDT,212.19,214.04,210.05,210.44,6411.217,1360020.65207,4574
1614265200000,2021-02-25 15:00:00,XMR/USDT,212.67,214.02,208.93,212.13,14404.490,3051064.40764,6922
1614261600000,2021-02-25 14:00:00,XMR/USDT,216.20,216.76,211.84,212.55,15302.828,3275150.43929,5126
1614258000000,2021-02-25 13:00:00,XMR/USDT,216.47,218.44,213.55,216.23,15458.383,3334337.57039,6690
1614254400000,2021-02-25 12:00:00,XMR/USDT,212.32,216.71,210.71,216.40,13056.137,2783435.59597,6073
1614250800000,2021-02-25 11:00:00,XMR/USDT,209.65,214.25,209.65,212.31,13806.555,2928855.14865,6738
1614247200000,2021-02-25 10:00:00,XMR/USDT,205.80,211.21,204.86,209.77,9579.017,1992375.95250,6286
1614243600000,2021-02-25 09:00:00,XMR/USDT,204.38,206.84,201.36,205.82,9914.250,2022633.78972,7572
1614240000000,2021-02-25 08:00:00,XMR/USDT,207.66,208.88,203.73,204.28,13584.356,2800908.33168,5942
1614236400000,2021-02-25 07:00:00,XMR/USDT,205.21,208.46,204.12,207.59,11230.586,2325314.86716,5617
1614232800000,2021-02-25 06:00:00,XMR/USDT,205.63,206.12,204.24,205.11,5543.210,1137125.13892,3494
1614229200000,2021-02-25 05:00:00,XMR/USDT,200.18,206.03,200.14,205.46,7405.385,1502339.50879,5316
1614225600000,2021-02-25 04:00:00,XMR/USDT,203.38,204.70,199.67,200.18,8948.883,1808400.98987,6315
1614222000000,2021-02-25 03:00:00,XMR/USDT,205.34,205.64,201.34,203.36,9540.503,1939635.28727,6476
1614218400000,2021-02-25 02:00:00,XMR/USDT,205.56,207.06,204.39,205.35,7603.860,1563028.37055,3934
1614214800000,2021-02-25 01:00:00,XMR/USDT,208.37,209.63,205.01,205.53,6907.801,1434590.57772,4684
1614211200000,2021-02-25 00:00:00,XMR/USDT,204.50,211.02,204.31,208.28,11342.479,2359138.99087,7254
1614207600000,2021-02-24 23:00:00,XMR/USDT,204.65,208.33,204.05,204.31,12001.145,2474617.09674,7341
1614204000000,2021-02-24 22:00:00,XMR/USDT,202.69,204.94,197.54,204.74,7867.848,1582387.17106,5887
1614200400000,2021-02-24 21:00:00,XMR/USDT,204.13,204.56,198.20,202.67,11988.992,2405714.45734,8191
1614196800000,2021-02-24 20:00:00,XMR/USDT,205.84,208.07,199.95,204.13,31672.070,6441431.82113,12137
1614193200000,2021-02-24 19:00:00,XMR/USDT,210.41,211.16,204.97,205.82,9340.890,1941862.38333,5599
1614189600000,2021-02-24 18:00:00,XMR/USDT,214.33,214.37,210.06,210.45,5910.639,1252059.75683,4710
1614186000000,2021-02-24 17:00:00,XMR/USDT,210.45,214.44,210.26,214.32,8367.374,1774981.18861,5996
1614182400000,2021-02-24 16:00:00,XMR/USDT,210.53,213.15,209.25,210.50,12236.546,2583859.31421,8958
