https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONT,Volume USDT,tradecount
1647734400000,2022-03-20 00:00:00,ONT/USDT,0.51800000,0.53930000,0.50700000,0.51340000,11226325.00000000,5855895.14150000,36811
1647648000000,2022-03-19 00:00:00,ONT/USDT,0.50950000,0.52090000,0.50550000,0.51820000,9360759.00000000,4803331.80510000,35647
1647561600000,2022-03-18 00:00:00,ONT/USDT,0.50690000,0.51550000,0.49150000,0.50940000,6135366.00000000,3092559.52990000,28345
1647475200000,2022-03-17 00:00:00,ONT/USDT,0.50970000,0.51420000,0.49870000,0.50690000,4778073.00000000,2426526.10580000,24309
1647388800000,2022-03-16 00:00:00,ONT/USDT,0.48360000,0.50990000,0.47830000,0.50970000,7318369.00000000,3595795.50300000,26498
1647302400000,2022-03-15 00:00:00,ONT/USDT,0.48340000,0.48900000,0.46670000,0.48350000,3882875.00000000,1853754.14400000,13551
1647216000000,2022-03-14 00:00:00,ONT/USDT,0.47060000,0.48560000,0.46600000,0.48370000,6176651.00000000,2944477.66790000,20313
1647129600000,2022-03-13 00:00:00,ONT/USDT,0.48450000,0.49980000,0.46840000,0.47060000,5325379.00000000,2583541.02730000,18559
1647043200000,2022-03-12 00:00:00,ONT/USDT,0.48680000,0.49830000,0.48370000,0.48500000,4667773.00000000,2296656.11160000,13776
1646956800000,2022-03-11 00:00:00,ONT/USDT,0.49630000,0.50140000,0.48070000,0.48690000,6765168.00000000,3316012.58680000,21844
1646870400000,2022-03-10 00:00:00,ONT/USDT,0.52370000,0.52730000,0.48450000,0.49630000,8738010.00000000,4335761.01570000,26626
1646784000000,2022-03-09 00:00:00,ONT/USDT,0.50540000,0.52870000,0.50470000,0.52390000,5724340.00000000,2976965.13260000,20406
1646697600000,2022-03-08 00:00:00,ONT/USDT,0.49640000,0.51370000,0.49420000,0.50510000,4735613.00000000,2387495.77250000,17650
1646611200000,2022-03-07 00:00:00,ONT/USDT,0.50970000,0.52210000,0.48340000,0.49600000,6728245.00000000,3375003.84770000,21881
1646524800000,2022-03-06 00:00:00,ONT/USDT,0.53500000,0.53690000,0.50670000,0.50910000,4582416.00000000,2380296.06010000,14856
1646438400000,2022-03-05 00:00:00,ONT/USDT,0.52940000,0.53690000,0.51450000,0.53530000,4518294.00000000,2366396.30900000,14781
1646352000000,2022-03-04 00:00:00,ONT/USDT,0.57400000,0.57420000,0.52100000,0.52950000,8413774.00000000,4604921.65200000,28273
1646265600000,2022-03-03 00:00:00,ONT/USDT,0.57070000,0.59730000,0.55140000,0.57440000,12725716.00000000,7296497.95120000,44904
1646179200000,2022-03-02 00:00:00,ONT/USDT,0.57250000,0.58700000,0.55310000,0.57080000,10956981.00000000,6236578.76980000,37691
1646092800000,2022-03-01 00:00:00,ONT/USDT,0.57270000,0.58920000,0.55060000,0.57250000,14228652.00000000,8098986.43790000,50703
1646006400000,2022-02-28 00:00:00,ONT/USDT,0.53070000,0.57300000,0.49920000,0.57280000,18829434.00000000,9935590.35580000,56868
1645920000000,2022-02-27 00:00:00,ONT/USDT,0.51160000,0.54160000,0.48930000,0.53130000,17759322.00000000,9096105.79340000,56135
1645833600000,2022-02-26 00:00:00,ONT/USDT,0.50770000,0.52330000,0.50040000,0.51150000,7894084.00000000,4034462.84840000,24612
1645747200000,2022-02-25 00:00:00,ONT/USDT,0.48130000,0.51120000,0.46790000,0.50810000,13303937.00000000,6494596.09810000,37663
1645660800000,2022-02-24 00:00:00,ONT/USDT,0.47970000,0.49010000,0.42440000,0.48130000,20827970.00000000,9471839.19860000,52134
1645574400000,2022-02-23 00:00:00,ONT/USDT,0.49870000,0.51800000,0.47680000,0.47960000,11512387.00000000,5769160.58390000,32302
1645488000000,2022-02-22 00:00:00,ONT/USDT,0.47930000,0.50070000,0.46010000,0.49860000,12627117.00000000,6056526.01690000,33598
1645401600000,2022-02-21 00:00:00,ONT/USDT,0.50740000,0.54950000,0.47740000,0.47930000,20700661.00000000,10722359.55090000,62257
1645315200000,2022-02-20 00:00:00,ONT/USDT,0.53840000,0.54480000,0.48910000,0.50740000,14261243.00000000,7257794.76850000,42866
1645228800000,2022-02-19 00:00:00,ONT/USDT,0.55650000,0.57900000,0.52880000,0.53820000,16185981.00000000,8953077.93990000,47432
1645142400000,2022-02-18 00:00:00,ONT/USDT,0.53940000,0.60560000,0.53530000,0.55660000,28338912.00000000,16203803.19010000,84147
1645056000000,2022-02-17 00:00:00,ONT/USDT,0.59220000,0.60000000,0.53290000,0.53940000,13401218.00000000,7540619.08610000,41505
