https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1636848000000,2021-11-14 00:00:00,ETC/USDT,56.314,56.933,54.800,56.215,2693068.30,150031640.44047,312939
1636761600000,2021-11-13 00:00:00,ETC/USDT,55.492,56.669,54.828,56.314,3506199.41,195623074.27561,407578
1636675200000,2021-11-12 00:00:00,ETC/USDT,56.780,57.859,53.700,55.495,5521585.74,307130174.93570,528236
1636588800000,2021-11-11 00:00:00,ETC/USDT,56.625,58.071,55.347,56.781,5449827.86,309647300.50747,529947
1636502400000,2021-11-10 00:00:00,ETC/USDT,60.955,64.570,50.842,56.627,19024818.39,1145941042.49317,1661265
1636416000000,2021-11-09 00:00:00,ETC/USDT,56.693,65.322,55.869,60.952,23383032.02,1438020680.53622,1935857
1636329600000,2021-11-08 00:00:00,ETC/USDT,54.126,56.900,53.807,56.693,4637887.67,255741110.16117,438266
1636243200000,2021-11-07 00:00:00,ETC/USDT,52.880,54.570,52.534,54.123,2478318.24,132510168.77965,288570
1636156800000,2021-11-06 00:00:00,ETC/USDT,53.168,53.575,50.500,52.880,2601546.44,136116443.61707,311391
1636070400000,2021-11-05 00:00:00,ETC/USDT,53.721,54.143,52.514,53.168,3147877.56,167922184.89261,351101
1635984000000,2021-11-04 00:00:00,ETC/USDT,55.557,56.297,52.392,53.721,3555236.90,192800427.78978,423260
1635897600000,2021-11-03 00:00:00,ETC/USDT,55.306,57.186,53.217,55.545,5929638.11,327622940.96824,598524
1635811200000,2021-11-02 00:00:00,ETC/USDT,53.916,55.890,53.300,55.308,3416703.39,186028395.67410,382723
1635724800000,2021-11-01 00:00:00,ETC/USDT,54.408,55.196,52.280,53.908,3949921.39,212588006.11130,433535
1635638400000,2021-10-31 00:00:00,ETC/USDT,52.985,58.895,52.119,54.402,10468756.45,576695383.68135,939800
1635552000000,2021-10-30 00:00:00,ETC/USDT,53.921,54.014,51.578,52.985,2641581.16,139455367.01189,328736
1635465600000,2021-10-29 00:00:00,ETC/USDT,52.181,54.080,51.731,53.921,4453232.80,235649089.19125,455451
1635379200000,2021-10-28 00:00:00,ETC/USDT,48.714,52.655,48.277,52.188,7117589.08,363806497.61164,665023
1635292800000,2021-10-27 00:00:00,ETC/USDT,54.238,55.394,41.438,48.716,11559266.92,572286755.82313,909850
1635206400000,2021-10-26 00:00:00,ETC/USDT,55.479,56.299,53.626,54.227,4671949.55,257873828.12390,467983
1635120000000,2021-10-25 00:00:00,ETC/USDT,55.005,56.400,54.709,55.472,3533019.51,196538628.88010,404713
