https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1645660800000,2022-02-24 00:00:00,DASH/USDT,88.24,90.99,76.97,87.75,659752.686,54494388.75273,219161
1645574400000,2022-02-23 00:00:00,DASH/USDT,93.56,96.19,88.00,88.22,335935.454,31223970.08294,122910
1645488000000,2022-02-22 00:00:00,DASH/USDT,86.93,93.91,84.13,93.56,406075.534,36347581.61647,150131
1645401600000,2022-02-21 00:00:00,DASH/USDT,97.88,101.43,86.25,86.92,553211.477,52565197.41119,199127
1645315200000,2022-02-20 00:00:00,DASH/USDT,102.37,102.54,94.83,97.92,388088.089,37916081.15704,146729
1645228800000,2022-02-19 00:00:00,DASH/USDT,105.19,106.66,99.75,102.37,300198.157,31005132.12129,138522
1645142400000,2022-02-18 00:00:00,DASH/USDT,104.60,110.56,103.33,105.19,468624.799,50113174.90573,179733
1645056000000,2022-02-17 00:00:00,DASH/USDT,115.24,118.66,103.11,104.59,848160.092,95963241.81446,297585
1644969600000,2022-02-16 00:00:00,DASH/USDT,109.28,116.11,105.94,115.28,384659.060,42598169.29280,159680
1644883200000,2022-02-15 00:00:00,DASH/USDT,103.77,109.87,103.55,109.27,204423.893,21936287.58845,108346
1644796800000,2022-02-14 00:00:00,DASH/USDT,101.86,104.66,98.50,103.70,235633.478,23974121.16207,110719
1644710400000,2022-02-13 00:00:00,DASH/USDT,103.95,106.24,100.63,101.87,234934.598,24311614.46197,118678
1644624000000,2022-02-12 00:00:00,DASH/USDT,103.94,106.61,99.81,103.98,291664.692,30070520.63409,141370
1644537600000,2022-02-11 00:00:00,DASH/USDT,111.54,114.56,102.52,103.94,336988.096,37114737.66701,166570
1644451200000,2022-02-10 00:00:00,DASH/USDT,114.88,117.43,109.67,111.56,373074.358,42468976.74715,158898
1644364800000,2022-02-09 00:00:00,DASH/USDT,112.69,118.18,110.11,114.91,281303.346,32233611.71868,147860
1644278400000,2022-02-08 00:00:00,DASH/USDT,115.79,119.44,109.31,112.71,368800.577,41730162.03498,167219
1644192000000,2022-02-07 00:00:00,DASH/USDT,108.66,116.98,105.83,115.79,283443.126,31791557.55841,136700
1644105600000,2022-02-06 00:00:00,DASH/USDT,103.46,109.01,102.36,108.64,256806.680,27154419.26883,114680
1644019200000,2022-02-05 00:00:00,DASH/USDT,102.87,106.63,101.01,103.49,282459.634,29374163.95197,145384
1643932800000,2022-02-04 00:00:00,DASH/USDT,95.09,103.23,94.24,102.90,318422.587,31428923.51610,146147
1643846400000,2022-02-03 00:00:00,DASH/USDT,92.82,95.20,90.15,95.09,259873.909,24103021.15813,110459
1643760000000,2022-02-02 00:00:00,DASH/USDT,97.18,99.44,92.00,92.81,300723.486,28932128.91990,127562
1643673600000,2022-02-01 00:00:00,DASH/USDT,94.11,97.46,93.70,97.19,241155.510,23039431.83307,105239
1643587200000,2022-01-31 00:00:00,DASH/USDT,92.66,94.95,88.20,94.10,292730.329,26731273.96554,124852
1643500800000,2022-01-30 00:00:00,DASH/USDT,96.51,98.09,91.88,92.69,277304.005,26433187.53196,121792
1643414400000,2022-01-29 00:00:00,DASH/USDT,95.41,97.84,93.19,96.52,267005.392,25551594.98993,116289
1643328000000,2022-01-28 00:00:00,DASH/USDT,91.61,95.99,89.66,95.43,407421.778,37824613.06735,180101
1643241600000,2022-01-27 00:00:00,DASH/USDT,92.99,94.07,87.10,91.61,551769.994,50225725.79771,210353
1643155200000,2022-01-26 00:00:00,DASH/USDT,89.42,99.15,88.29,92.99,530087.407,49172081.25197,201089
1643068800000,2022-01-25 00:00:00,DASH/USDT,90.35,92.42,87.78,89.41,544896.665,49033591.15683,199930
1642982400000,2022-01-24 00:00:00,DASH/USDT,99.44,100.14,80.46,90.37,1103023.683,97130143.73264,373360
1642896000000,2022-01-23 00:00:00,DASH/USDT,96.97,100.79,92.77,99.44,480899.986,46666240.04266,179974
1642809600000,2022-01-22 00:00:00,DASH/USDT,105.59,107.63,85.09,96.94,821084.840,78796054.43310,335650
1642723200000,2022-01-21 00:00:00,DASH/USDT,120.98,122.23,102.29,105.59,641198.222,73377497.60267,294746
1642636800000,2022-01-20 00:00:00,DASH/USDT,126.63,133.64,120.44,120.99,295857.901,37992946.20333,165639
1642550400000,2022-01-19 00:00:00,DASH/USDT,130.53,132.07,126.00,126.61,350088.340,45227870.88974,182225
1642464000000,2022-01-18 00:00:00,DASH/USDT,135.68,136.97,127.22,130.53,352456.648,46145363.10488,188121
1642377600000,2022-01-17 00:00:00,DASH/USDT,137.43,138.28,132.63,135.68,343225.579,46486155.25939,178006
1642291200000,2022-01-16 00:00:00,DASH/USDT,141.38,142.77,135.52,137.38,279283.704,38779053.89482,146295
1642204800000,2022-01-15 00:00:00,DASH/USDT,141.10,142.55,138.53,141.41,223108.187,31397032.15396,124304
1642118400000,2022-01-14 00:00:00,DASH/USDT,141.46,146.91,138.99,141.09,472003.627,67457221.34097,233863
1642032000000,2022-01-13 00:00:00,DASH/USDT,143.37,144.83,137.00,141.46,485022.790,68604517.30349,246228
1641945600000,2022-01-12 00:00:00,DASH/USDT,141.59,144.69,138.32,143.37,618537.994,87727404.03982,302733
1641859200000,2022-01-11 00:00:00,DASH/USDT,147.96,156.24,141.03,141.58,639836.238,95037628.83613,322288
1641772800000,2022-01-10 00:00:00,DASH/USDT,152.94,154.94,139.78,147.91,1197196.417,176128973.12284,557967
1641686400000,2022-01-09 00:00:00,DASH/USDT,141.85,157.99,140.40,152.99,1369764.759,200356234.81108,547865
1641600000000,2022-01-08 00:00:00,DASH/USDT,134.61,146.93,131.55,141.93,1650053.336,228173076.11542,601386
1641513600000,2022-01-07 00:00:00,DASH/USDT,124.28,134.92,115.16,134.63,1026878.482,131113127.66623,419112
1641427200000,2022-01-06 00:00:00,DASH/USDT,122.48,125.31,117.80,124.29,336398.899,40896766.97807,172553
1641340800000,2022-01-05 00:00:00,DASH/USDT,134.69,137.05,116.64,122.57,399066.166,51745544.54035,207291
1641254400000,2022-01-04 00:00:00,DASH/USDT,139.17,140.00,133.34,134.72,230899.306,31553434.89964,138590
1641168000000,2022-01-03 00:00:00,DASH/USDT,141.94,142.97,136.25,139.17,182809.332,25592068.72016,120749
1641081600000,2022-01-02 00:00:00,DASH/USDT,138.16,143.26,136.21,141.95,174868.529,24455112.44735,108290
1640995200000,2022-01-01 00:00:00,DASH/USDT,133.62,139.40,133.53,138.14,188390.443,25675527.62281,104604
1640908800000,2021-12-31 00:00:00,DASH/USDT,133.01,142.49,131.00,133.59,387244.582,52830556.99449,190531
1640822400000,2021-12-30 00:00:00,DASH/USDT,133.39,135.78,129.26,133.01,270952.544,36009004.69684,140740
1640736000000,2021-12-29 00:00:00,DASH/USDT,134.68,136.87,131.20,133.38,313527.182,42167492.67387,152610
1640649600000,2021-12-28 00:00:00,DASH/USDT,150.94,150.96,134.51,134.68,427563.902,60238421.90956,192962
1640563200000,2021-12-27 00:00:00,DASH/USDT,149.07,155.73,148.88,150.93,251587.080,38419598.16198,135406
1640476800000,2021-12-26 00:00:00,DASH/USDT,150.06,150.97,145.00,149.06,206815.109,30754283.26151,123560
1640390400000,2021-12-25 00:00:00,DASH/USDT,149.41,153.76,148.06,149.97,252008.265,38085869.07522,147950
1640304000000,2021-12-24 00:00:00,DASH/USDT,146.65,156.71,144.64,149.39,616804.954,93412231.36765,284321
1640217600000,2021-12-23 00:00:00,DASH/USDT,135.10,147.41,131.57,146.65,381853.795,52996602.79465,194245
1640131200000,2021-12-22 00:00:00,DASH/USDT,133.61,142.96,131.11,135.09,318068.276,43263672.85750,160522
1640044800000,2021-12-21 00:00:00,DASH/USDT,127.15,134.80,125.35,133.54,247075.921,32261555.44975,113110
1639958400000,2021-12-20 00:00:00,DASH/USDT,128.98,130.13,122.44,127.17,299350.966,37690957.93546,135631
1639872000000,2021-12-19 00:00:00,DASH/USDT,129.53,133.15,128.47,128.98,209142.443,27384548.31180,107608
1639785600000,2021-12-18 00:00:00,DASH/USDT,128.20,132.40,126.16,129.53,219855.638,28540110.35334,117319
1639699200000,2021-12-17 00:00:00,DASH/USDT,130.27,132.34,123.85,128.22,286140.534,36849336.42609,164295
1639612800000,2021-12-16 00:00:00,DASH/USDT,134.11,135.97,129.76,130.29,248935.133,33250124.34300,134921
1639526400000,2021-12-15 00:00:00,DASH/USDT,131.45,136.66,124.05,134.10,392442.260,51014261.11258,203019
1639440000000,2021-12-14 00:00:00,DASH/USDT,126.26,134.12,124.50,131.48,442676.105,57031095.05407,208651
1639353600000,2021-12-13 00:00:00,DASH/USDT,138.13,139.85,123.54,126.26,392561.217,51224446.72503,204858
1639267200000,2021-12-12 00:00:00,DASH/USDT,140.51,140.89,133.82,138.11,255592.304,35133635.14775,146143
1639180800000,2021-12-11 00:00:00,DASH/USDT,132.89,141.83,130.41,140.55,366925.374,50572605.49156,189735
1639094400000,2021-12-10 00:00:00,DASH/USDT,135.95,141.54,131.17,132.87,475675.730,65086629.83066,236623
1639008000000,2021-12-09 00:00:00,DASH/USDT,147.56,151.41,135.53,135.97,598664.060,85845603.55942,313274
1638921600000,2021-12-08 00:00:00,DASH/USDT,138.18,148.78,134.98,147.57,561462.350,80185978.55098,294429
1638835200000,2021-12-07 00:00:00,DASH/USDT,137.20,144.67,135.51,138.19,448852.787,62411193.87921,244470
1638748800000,2021-12-06 00:00:00,DASH/USDT,134.43,139.85,121.81,137.20,586288.690,76067950.99878,289822
1638662400000,2021-12-05 00:00:00,DASH/USDT,142.44,144.94,126.29,134.44,487087.881,65698389.04481,252855
1638576000000,2021-12-04 00:00:00,DASH/USDT,167.16,167.78,108.54,142.48,927018.174,127713030.76409,447300
1638489600000,2021-12-03 00:00:00,DASH/USDT,176.14,180.62,158.09,167.13,320530.931,55245473.89326,240344
1638403200000,2021-12-02 00:00:00,DASH/USDT,178.39,178.59,172.43,176.14,208580.973,36653742.87036,175499
1638316800000,2021-12-01 00:00:00,DASH/USDT,180.10,185.74,176.70,178.36,249970.031,45316034.77816,197940
1638230400000,2021-11-30 00:00:00,DASH/USDT,182.08,186.50,174.53,180.11,371328.079,67237343.43445,279848
1638144000000,2021-11-29 00:00:00,DASH/USDT,178.65,184.59,175.70,182.08,323513.895,58268508.19992,223642
1638057600000,2021-11-28 00:00:00,DASH/USDT,182.55,183.13,164.00,178.66,450681.517,78803019.95371,310612
1637971200000,2021-11-27 00:00:00,DASH/USDT,183.63,189.96,180.61,182.58,253346.935,46937623.01868,188450
1637884800000,2021-11-26 00:00:00,DASH/USDT,214.96,215.87,177.94,183.72,516550.988,98219808.92865,371012
1637798400000,2021-11-25 00:00:00,DASH/USDT,204.30,215.90,202.34,214.94,426156.829,88995886.72389,300505
1637712000000,2021-11-24 00:00:00,DASH/USDT,187.72,205.30,184.45,204.27,781301.116,153939496.20793,482375
1637625600000,2021-11-23 00:00:00,DASH/USDT,198.02,201.07,184.56,187.73,346662.462,66308587.55061,285418
1637539200000,2021-11-22 00:00:00,DASH/USDT,207.29,209.19,188.62,198.01,493112.072,96521815.87289,375962
1637452800000,2021-11-21 00:00:00,DASH/USDT,193.85,208.81,187.33,207.28,348373.460,68988757.96157,287200
1637366400000,2021-11-20 00:00:00,DASH/USDT,189.39,198.23,186.18,193.84,313386.587,60525639.95423,253896
1637280000000,2021-11-19 00:00:00,DASH/USDT,175.69,189.49,173.93,189.45,349869.312,64382828.55140,265238
1637193600000,2021-11-18 00:00:00,DASH/USDT,189.47,191.30,170.00,175.63,486977.572,87803540.83165,349044
1637107200000,2021-11-17 00:00:00,DASH/USDT,198.48,200.81,184.70,189.44,411227.255,78409452.68262,322537
1637020800000,2021-11-16 00:00:00,DASH/USDT,224.67,224.72,186.95,198.52,541125.312,110601650.74117,427625
1636934400000,2021-11-15 00:00:00,DASH/USDT,229.34,240.78,223.77,224.71,360901.988,83860346.33542,302498
1636848000000,2021-11-14 00:00:00,DASH/USDT,229.02,232.23,220.11,229.30,181102.615,40912834.75568,186934
1636761600000,2021-11-13 00:00:00,DASH/USDT,221.57,233.20,217.40,229.02,276352.986,62073539.98370,235243
1636675200000,2021-11-12 00:00:00,DASH/USDT,231.91,236.51,212.31,221.55,347850.484,77849780.04841,272940
1636588800000,2021-11-11 00:00:00,DASH/USDT,217.28,235.35,213.30,231.93,418784.479,95065824.30654,303092
1636502400000,2021-11-10 00:00:00,DASH/USDT,234.58,248.22,205.40,217.29,652336.925,151442158.72442,488421
1636416000000,2021-11-09 00:00:00,DASH/USDT,212.26,239.22,211.19,234.58,922144.295,211622596.98960,620011
1636329600000,2021-11-08 00:00:00,DASH/USDT,194.13,213.59,193.49,212.18,404245.015,82432485.95162,287492
1636243200000,2021-11-07 00:00:00,DASH/USDT,191.38,194.13,189.83,194.13,116896.579,22436505.82977,107663
1636156800000,2021-11-06 00:00:00,DASH/USDT,194.62,197.97,185.31,191.38,160323.267,30658249.95262,135328
1636070400000,2021-11-05 00:00:00,DASH/USDT,199.04,200.11,191.47,194.61,161786.751,31650022.14018,155191
1635984000000,2021-11-04 00:00:00,DASH/USDT,202.20,204.96,193.82,199.01,250451.356,49936349.30369,200233
1635897600000,2021-11-03 00:00:00,DASH/USDT,200.42,206.00,192.94,202.20,341639.382,68439638.58250,262743
1635811200000,2021-11-02 00:00:00,DASH/USDT,189.33,203.12,187.65,200.40,243953.964,47578241.62141,194287
1635724800000,2021-11-01 00:00:00,DASH/USDT,193.05,195.00,183.51,189.38,264256.368,50307221.27331,195542
1635638400000,2021-10-31 00:00:00,DASH/USDT,184.04,200.51,183.51,193.00,353223.868,67793486.22059,265355
1635552000000,2021-10-30 00:00:00,DASH/USDT,187.92,189.55,179.51,184.02,197725.399,36582536.71347,169430
