https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1652486400000,2022-05-14 00:00:00,LINK/USDT,7.145,7.260,7.054,7.228,1172853.96,8397521.12129,29000
1652482800000,2022-05-13 23:00:00,LINK/USDT,7.291,7.315,7.005,7.146,1585549.60,11335046.88410,36032
1652479200000,2022-05-13 22:00:00,LINK/USDT,7.305,7.379,7.246,7.291,882594.78,6448817.05440,20446
1652475600000,2022-05-13 21:00:00,LINK/USDT,7.156,7.306,7.121,7.305,402892.92,2904304.98725,8745
1652472000000,2022-05-13 20:00:00,LINK/USDT,7.238,7.303,7.138,7.156,621750.95,4488961.01856,16062
1652468400000,2022-05-13 19:00:00,LINK/USDT,7.251,7.282,7.167,7.235,754269.22,5449975.91748,16838
1652464800000,2022-05-13 18:00:00,LINK/USDT,7.100,7.329,7.009,7.253,1770440.35,12676637.92333,32480
1652461200000,2022-05-13 17:00:00,LINK/USDT,7.212,7.375,7.099,7.100,1474774.36,10652740.56732,28984
1652457600000,2022-05-13 16:00:00,LINK/USDT,7.295,7.399,7.124,7.213,1597345.40,11577923.28822,36048
1652454000000,2022-05-13 15:00:00,LINK/USDT,7.532,7.561,7.251,7.293,1258564.02,9313283.74749,25170
1652450400000,2022-05-13 14:00:00,LINK/USDT,7.555,7.702,7.512,7.533,1469950.40,11174719.68551,32084
1652446800000,2022-05-13 13:00:00,LINK/USDT,7.496,7.567,7.256,7.555,1925656.09,14238766.54137,37050
1652443200000,2022-05-13 12:00:00,LINK/USDT,7.580,7.587,7.418,7.499,1162042.21,8706621.54467,24285
1652439600000,2022-05-13 11:00:00,LINK/USDT,7.391,7.586,7.306,7.580,1230798.51,9136266.56728,29838
1652436000000,2022-05-13 10:00:00,LINK/USDT,7.276,7.428,7.182,7.391,1110621.04,8098034.49764,24282
1652432400000,2022-05-13 09:00:00,LINK/USDT,7.247,7.427,7.240,7.274,1205177.82,8820876.42262,29460
1652428800000,2022-05-13 08:00:00,LINK/USDT,7.110,7.276,7.109,7.248,1141729.17,8211791.19074,23210
1652425200000,2022-05-13 07:00:00,LINK/USDT,7.348,7.348,7.104,7.112,1405975.85,10164312.23501,30485
1652421600000,2022-05-13 06:00:00,LINK/USDT,7.347,7.416,7.277,7.347,1115135.95,8204609.13564,30051
1652418000000,2022-05-13 05:00:00,LINK/USDT,7.217,7.490,7.162,7.348,1716635.70,12644758.14185,46086
1652414400000,2022-05-13 04:00:00,LINK/USDT,7.154,7.253,7.097,7.214,1165055.56,8338859.75611,24064
1652410800000,2022-05-13 03:00:00,LINK/USDT,6.925,7.245,6.878,7.154,2112082.29,14969204.12856,41869
1652407200000,2022-05-13 02:00:00,LINK/USDT,6.725,6.958,6.676,6.925,1560043.14,10698477.97233,31793
1652403600000,2022-05-13 01:00:00,LINK/USDT,6.763,6.877,6.642,6.726,1325381.93,8951112.70223,24175
1652400000000,2022-05-13 00:00:00,LINK/USDT,6.562,6.773,6.471,6.761,1558728.16,10303001.80270,28620
1652396400000,2022-05-12 23:00:00,LINK/USDT,6.384,6.648,6.384,6.562,1192978.53,7804747.28222,25240
1652392800000,2022-05-12 22:00:00,LINK/USDT,6.422,6.452,6.278,6.386,1240506.24,7900809.84074,20806
1652389200000,2022-05-12 21:00:00,LINK/USDT,6.518,6.521,6.288,6.423,1102178.88,7046330.92503,21502
1652385600000,2022-05-12 20:00:00,LINK/USDT,6.596,6.631,6.473,6.519,955959.65,6271985.49010,21903
1652382000000,2022-05-12 19:00:00,LINK/USDT,6.376,6.636,6.363,6.597,1440042.61,9391462.53303,32673
1652378400000,2022-05-12 18:00:00,LINK/USDT,6.674,6.722,6.357,6.377,1492134.46,9732014.08723,38753
1652374800000,2022-05-12 17:00:00,LINK/USDT,6.883,6.981,6.651,6.674,2392415.34,16386846.53660,44481
1652371200000,2022-05-12 16:00:00,LINK/USDT,6.531,6.919,6.510,6.882,1972469.04,13217151.84105,42808
1652367600000,2022-05-12 15:00:00,LINK/USDT,6.644,6.877,6.531,6.531,2450541.57,16398048.05537,56615
1652364000000,2022-05-12 14:00:00,LINK/USDT,6.092,6.653,6.025,6.643,2748371.78,17281698.83361,58400
1652360400000,2022-05-12 13:00:00,LINK/USDT,6.348,6.421,6.062,6.090,2720736.48,16918574.10890,59837
1652356800000,2022-05-12 12:00:00,LINK/USDT,6.306,6.377,6.136,6.350,2188668.67,13697882.82510,51000
1652353200000,2022-05-12 11:00:00,LINK/USDT,6.382,6.540,6.264,6.309,2498695.86,15991165.06804,54723
1652349600000,2022-05-12 10:00:00,LINK/USDT,6.092,6.453,5.968,6.381,3216378.13,19970550.01236,70248
1652346000000,2022-05-12 09:00:00,LINK/USDT,6.146,6.274,6.056,6.093,2867760.53,17677440.78881,60329
1652342400000,2022-05-12 08:00:00,LINK/USDT,6.158,6.265,6.015,6.147,4115519.46,25207109.19158,78284
1652338800000,2022-05-12 07:00:00,LINK/USDT,5.914,6.343,5.519,6.156,4518260.89,27041163.84729,95517
1652335200000,2022-05-12 06:00:00,LINK/USDT,5.818,6.266,5.740,5.912,3762463.08,22587393.31090,78920
1652331600000,2022-05-12 05:00:00,LINK/USDT,6.161,6.202,5.630,5.818,6329519.99,37289086.09343,127390
1652328000000,2022-05-12 04:00:00,LINK/USDT,6.413,6.472,6.032,6.162,4309531.48,26932587.61228,105804
