https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1652230800000,2022-05-11 01:00:00,LUNA/USDT,16.93000000,17.16000000,14.04000000,14.46000000,9428847.65000000,149400707.46090000,320241
1652227200000,2022-05-11 00:00:00,LUNA/USDT,17.46000000,19.66000000,16.67000000,16.93000000,12291942.97000000,223746548.72540000,441640
1652223600000,2022-05-10 23:00:00,LUNA/USDT,15.57000000,18.38000000,14.97000000,17.46000000,9986478.59000000,169811768.41050000,304698
1652220000000,2022-05-10 22:00:00,LUNA/USDT,16.11000000,18.70000000,13.57000000,15.60000000,11281028.12300000,178543410.17139800,354667
1652216400000,2022-05-10 21:00:00,LUNA/USDT,23.06000000,23.48000000,15.42000000,16.13000000,9133482.89200000,172111137.81194800,328957
1652212800000,2022-05-10 20:00:00,LUNA/USDT,25.06000000,25.30000000,22.42000000,23.07000000,3760249.15000000,89949258.15370000,180941
1652209200000,2022-05-10 19:00:00,LUNA/USDT,28.07000000,28.42000000,24.00000000,25.06000000,5687628.36000000,145970794.64270000,311684
1652205600000,2022-05-10 18:00:00,LUNA/USDT,31.02000000,31.15000000,28.03000000,28.09000000,2485458.09000000,73547364.88430000,150845
1652202000000,2022-05-10 17:00:00,LUNA/USDT,30.04000000,32.10000000,29.70000000,31.02000000,2394854.38000000,73866009.01450000,154339
1652198400000,2022-05-10 16:00:00,LUNA/USDT,31.46000000,32.49000000,29.66000000,30.04000000,3158682.41000000,97543240.79410000,173801
1652194800000,2022-05-10 15:00:00,LUNA/USDT,29.46000000,33.15000000,27.67000000,31.46000000,6355604.91000000,193842200.58540000,295622
1652191200000,2022-05-10 14:00:00,LUNA/USDT,31.76000000,33.04000000,28.56000000,29.47000000,3673992.75000000,112410575.69690000,183305
1652187600000,2022-05-10 13:00:00,LUNA/USDT,33.54000000,34.58000000,30.88000000,31.76000000,3322472.53000000,108759435.91270000,169802
1652184000000,2022-05-10 12:00:00,LUNA/USDT,32.46000000,34.50000000,31.69000000,33.54000000,4202573.93000000,139484915.09810000,203954
1652180400000,2022-05-10 11:00:00,LUNA/USDT,29.14000000,33.47000000,29.02000000,32.46000000,4499476.74000000,141845349.45360000,200122
1652176800000,2022-05-10 10:00:00,LUNA/USDT,28.99000000,30.42000000,28.01000000,29.16000000,4310961.03000000,126859896.54240000,207530
1652173200000,2022-05-10 09:00:00,LUNA/USDT,31.85000000,32.77000000,28.60000000,29.00000000,4501035.44000000,135841993.82470000,229316
1652169600000,2022-05-10 08:00:00,LUNA/USDT,30.90000000,33.97000000,30.62000000,31.84000000,3929935.59000000,127279149.96070000,221189
1652166000000,2022-05-10 07:00:00,LUNA/USDT,34.56000000,35.40000000,30.44000000,30.90000000,4755400.98000000,152738367.63860000,262340
1652162400000,2022-05-10 06:00:00,LUNA/USDT,32.63000000,37.00000000,32.05000000,34.55000000,6431541.46000000,224863473.03530000,375909
1652158800000,2022-05-10 05:00:00,LUNA/USDT,29.81000000,33.40000000,27.64000000,32.63000000,6124903.70000000,186889340.48840000,336115
1652155200000,2022-05-10 04:00:00,LUNA/USDT,25.36000000,30.50000000,23.50000000,29.80000000,8495893.74000000,227206590.65990000,417051
1652151600000,2022-05-10 03:00:00,LUNA/USDT,31.12000000,31.32000000,25.04000000,25.37000000,5996536.63000000,171717652.22630000,310641
1652148000000,2022-05-10 02:00:00,LUNA/USDT,35.21000000,35.99000000,30.77000000,31.13000000,4406326.49000000,146986550.10020000,258559
1652144400000,2022-05-10 01:00:00,LUNA/USDT,38.61000000,40.18000000,34.02000000,35.22000000,4741080.03000000,173881504.74150000,301317
1652140800000,2022-05-10 00:00:00,LUNA/USDT,30.31000000,39.28000000,26.54000000,38.61000000,8420061.98000000,269662830.54920000,448956
1652137200000,2022-05-09 23:00:00,LUNA/USDT,41.47000000,42.74000000,30.00000000,30.29000000,5568301.66000000,201910454.14710000,336092
1652133600000,2022-05-09 22:00:00,LUNA/USDT,42.02000000,47.09000000,39.85000000,41.47000000,3973256.99000000,171346151.79400000,285195
1652130000000,2022-05-09 21:00:00,LUNA/USDT,48.53000000,49.07000000,41.29000000,42.00000000,1959080.26000000,90497107.71980000,129326
1652126400000,2022-05-09 20:00:00,LUNA/USDT,46.98000000,52.26000000,46.98000000,48.53000000,2758758.37000000,136861913.76650000,188319
1652122800000,2022-05-09 19:00:00,LUNA/USDT,46.76000000,48.51000000,44.23000000,46.96000000,2458521.37000000,114297409.74770000,171102
1652119200000,2022-05-09 18:00:00,LUNA/USDT,51.48000000,52.00000000,43.30000000,46.77000000,3561734.44000000,168264806.81820000,274191
1652115600000,2022-05-09 17:00:00,LUNA/USDT,53.68000000,54.03000000,51.37000000,51.48000000,1769621.53000000,93567571.98420000,119663
1652112000000,2022-05-09 16:00:00,LUNA/USDT,57.35000000,57.64000000,52.31000000,53.67000000,1736466.24000000,96060971.68660000,122669
1652108400000,2022-05-09 15:00:00,LUNA/USDT,58.77000000,59.42000000,56.53000000,57.38000000,1066632.23000000,61632219.91450000,68250
