https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1652889600000,2022-05-18 16:00:00,NEO/USDT,10.063,10.150,9.913,10.112,200023.42,2009003.76297,11125
1652886000000,2022-05-18 15:00:00,NEO/USDT,10.210,10.228,9.889,10.059,201139.72,2018975.85620,10330
1652882400000,2022-05-18 14:00:00,NEO/USDT,10.253,10.386,10.156,10.213,104104.68,1069941.43764,5813
1652878800000,2022-05-18 13:00:00,NEO/USDT,10.381,10.463,10.222,10.256,141852.45,1465554.28810,8475
1652875200000,2022-05-18 12:00:00,NEO/USDT,10.683,10.694,10.354,10.387,125459.54,1320830.36052,6246
1652871600000,2022-05-18 11:00:00,NEO/USDT,10.779,10.780,10.607,10.681,56372.02,601738.58520,3239
1652868000000,2022-05-18 10:00:00,NEO/USDT,10.693,10.782,10.689,10.780,58113.53,623952.86248,3063
1652864400000,2022-05-18 09:00:00,NEO/USDT,10.833,10.842,10.589,10.692,102452.12,1093324.63840,5101
1652860800000,2022-05-18 08:00:00,NEO/USDT,10.813,10.840,10.719,10.833,74717.98,806199.66496,4382
1652857200000,2022-05-18 07:00:00,NEO/USDT,10.662,10.812,10.657,10.812,50559.42,542468.62976,3247
1652853600000,2022-05-18 06:00:00,NEO/USDT,10.866,10.916,10.657,10.663,65119.39,701806.37533,3820
1652850000000,2022-05-18 05:00:00,NEO/USDT,10.729,10.867,10.714,10.866,50880.47,550092.81497,3000
1652846400000,2022-05-18 04:00:00,NEO/USDT,10.691,10.813,10.657,10.731,55610.36,598281.15047,3463
1652842800000,2022-05-18 03:00:00,NEO/USDT,11.030,11.059,10.656,10.690,118181.12,1275582.54025,6128
1652839200000,2022-05-18 02:00:00,NEO/USDT,10.889,11.034,10.875,11.034,55924.43,613015.92615,2955
1652835600000,2022-05-18 01:00:00,NEO/USDT,11.007,11.064,10.867,10.885,91776.18,1006840.64046,4598
1652832000000,2022-05-18 00:00:00,NEO/USDT,10.980,11.184,10.957,11.007,88968.05,985721.21442,5125
1652828400000,2022-05-17 23:00:00,NEO/USDT,10.926,11.045,10.926,10.982,58277.46,640142.09269,4045
1652824800000,2022-05-17 22:00:00,NEO/USDT,10.820,11.001,10.820,10.925,100756.74,1099389.59736,5726
1652821200000,2022-05-17 21:00:00,NEO/USDT,10.609,10.846,10.590,10.822,46353.54,496581.02121,2868
1652817600000,2022-05-17 20:00:00,NEO/USDT,10.568,10.699,10.534,10.612,54659.36,581063.88601,3200
1652814000000,2022-05-17 19:00:00,NEO/USDT,10.461,10.699,10.422,10.566,115719.67,1223106.06183,6705
1652810400000,2022-05-17 18:00:00,NEO/USDT,10.603,10.712,10.270,10.463,255894.65,2673089.95848,11572
1652806800000,2022-05-17 17:00:00,NEO/USDT,10.705,10.865,10.598,10.606,122503.64,1319151.60718,6489
1652803200000,2022-05-17 16:00:00,NEO/USDT,10.749,10.764,10.533,10.707,92973.54,990728.05654,5739
1652799600000,2022-05-17 15:00:00,NEO/USDT,10.681,10.774,10.587,10.752,111871.05,1196453.30650,6381
1652796000000,2022-05-17 14:00:00,NEO/USDT,11.045,11.061,10.653,10.679,144942.80,1573886.95119,7007
1652792400000,2022-05-17 13:00:00,NEO/USDT,10.988,11.197,10.932,11.043,154226.39,1706209.37162,7538
1652788800000,2022-05-17 12:00:00,NEO/USDT,10.820,11.025,10.783,10.986,141065.99,1541051.76646,6139
1652785200000,2022-05-17 11:00:00,NEO/USDT,10.829,10.928,10.815,10.824,91694.64,996340.87370,4515
1652781600000,2022-05-17 10:00:00,NEO/USDT,10.790,10.877,10.744,10.830,127517.88,1380015.84851,5364
1652778000000,2022-05-17 09:00:00,NEO/USDT,10.721,10.831,10.716,10.788,70457.54,759746.90296,3103
1652774400000,2022-05-17 08:00:00,NEO/USDT,10.681,10.787,10.638,10.727,104278.14,1117710.43544,4723
1652770800000,2022-05-17 07:00:00,NEO/USDT,10.925,10.945,10.668,10.681,78968.29,852339.99966,4058
1652767200000,2022-05-17 06:00:00,NEO/USDT,10.751,10.931,10.702,10.924,84678.58,916172.03415,3836
1652763600000,2022-05-17 05:00:00,NEO/USDT,10.786,10.804,10.677,10.746,77589.62,832100.13720,2880
1652760000000,2022-05-17 04:00:00,NEO/USDT,10.727,10.804,10.634,10.787,56928.30,610035.05442,3247
1652756400000,2022-05-17 03:00:00,NEO/USDT,10.546,10.763,10.532,10.734,62409.00,666079.85648,3937
1652752800000,2022-05-17 02:00:00,NEO/USDT,10.477,10.575,10.469,10.546,69699.08,733621.29632,3697
1652749200000,2022-05-17 01:00:00,NEO/USDT,10.508,10.524,10.358,10.474,105713.20,1103827.70853,5279
1652745600000,2022-05-17 00:00:00,NEO/USDT,10.253,10.545,10.240,10.503,106007.99,1105377.00982,5913
1652742000000,2022-05-16 23:00:00,NEO/USDT,10.330,10.343,10.171,10.248,71459.26,732314.67512,4602
1652738400000,2022-05-16 22:00:00,NEO/USDT,10.498,10.549,10.318,10.332,73276.29,766439.30004,4516
1652734800000,2022-05-16 21:00:00,NEO/USDT,10.494,10.553,10.452,10.497,36248.31,380350.89442,2777
1652731200000,2022-05-16 20:00:00,NEO/USDT,10.343,10.499,10.340,10.492,47633.64,496279.27935,3108
1652727600000,2022-05-16 19:00:00,NEO/USDT,10.430,10.497,10.308,10.348,86579.50,901195.11107,5000
1652724000000,2022-05-16 18:00:00,NEO/USDT,10.320,10.440,10.285,10.426,61036.80,634195.97980,4051
1652720400000,2022-05-16 17:00:00,NEO/USDT,10.129,10.343,10.114,10.318,63830.81,654794.36592,3753
1652716800000,2022-05-16 16:00:00,NEO/USDT,10.225,10.287,10.099,10.132,112315.83,1144614.06744,5566
1652713200000,2022-05-16 15:00:00,NEO/USDT,10.133,10.237,10.007,10.224,96715.59,980391.49474,5024
1652709600000,2022-05-16 14:00:00,NEO/USDT,10.169,10.344,10.129,10.134,127135.63,1300195.74034,6562
1652706000000,2022-05-16 13:00:00,NEO/USDT,10.264,10.346,10.128,10.169,247980.46,2540588.64778,8779
