https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1653026400000,2022-05-20 06:00:00,NEAR/USDT,6.03800000,6.04100000,5.83100000,5.90400000,558229.40000000,3299701.30980000,13681
1653022800000,2022-05-20 05:00:00,NEAR/USDT,5.96400000,6.06700000,5.91900000,6.03800000,397175.50000000,2378892.02590000,9409
1653019200000,2022-05-20 04:00:00,NEAR/USDT,5.97300000,6.05000000,5.90600000,5.96500000,390152.90000000,2332622.28930000,10673
1653015600000,2022-05-20 03:00:00,NEAR/USDT,6.09200000,6.10800000,5.96300000,5.97300000,385293.60000000,2317168.51120000,9502
1653012000000,2022-05-20 02:00:00,NEAR/USDT,6.19000000,6.19900000,6.08200000,6.09200000,424177.20000000,2599746.47860000,10584
1653008400000,2022-05-20 01:00:00,NEAR/USDT,6.08000000,6.27500000,6.01200000,6.19000000,703046.20000000,4334280.94380000,18795
1653004800000,2022-05-20 00:00:00,NEAR/USDT,6.10200000,6.13900000,6.02100000,6.08100000,441526.10000000,2685234.99210000,11815
1653001200000,2022-05-19 23:00:00,NEAR/USDT,5.96100000,6.16800000,5.96100000,6.10200000,642020.40000000,3902490.14040000,15965
1652997600000,2022-05-19 22:00:00,NEAR/USDT,6.00300000,6.00800000,5.87300000,5.96000000,328492.30000000,1945206.62950000,7324
1652994000000,2022-05-19 21:00:00,NEAR/USDT,6.05700000,6.09300000,6.00000000,6.00400000,212323.80000000,1282369.09190000,4324
1652990400000,2022-05-19 20:00:00,NEAR/USDT,5.94500000,6.06800000,5.93300000,6.05600000,260572.00000000,1565680.47940000,5707
1652986800000,2022-05-19 19:00:00,NEAR/USDT,6.04900000,6.09100000,5.94500000,5.94500000,449055.20000000,2696781.66630000,10311
1652983200000,2022-05-19 18:00:00,NEAR/USDT,6.07400000,6.12400000,6.01500000,6.05000000,719541.20000000,4363133.56830000,12413
1652979600000,2022-05-19 17:00:00,NEAR/USDT,6.10800000,6.13900000,5.99200000,6.07400000,447474.60000000,2711252.72800000,10799
1652976000000,2022-05-19 16:00:00,NEAR/USDT,6.18800000,6.21100000,6.06500000,6.10800000,519697.00000000,3190029.57220000,12772
1652972400000,2022-05-19 15:00:00,NEAR/USDT,6.07300000,6.27100000,6.02800000,6.18400000,1512993.30000000,9355975.13350000,29438
1652968800000,2022-05-19 14:00:00,NEAR/USDT,5.92500000,6.10000000,5.92100000,6.07400000,1136411.40000000,6842090.92890000,23536
1652965200000,2022-05-19 13:00:00,NEAR/USDT,5.88300000,6.09200000,5.83400000,5.92500000,1184883.10000000,7073473.59570000,23974
1652961600000,2022-05-19 12:00:00,NEAR/USDT,5.93700000,5.97100000,5.84800000,5.88400000,728171.40000000,4295394.18330000,13974
1652958000000,2022-05-19 11:00:00,NEAR/USDT,5.73400000,5.96100000,5.66600000,5.93600000,872679.80000000,5081568.48210000,16554
1652954400000,2022-05-19 10:00:00,NEAR/USDT,5.65100000,5.75200000,5.58100000,5.73300000,686372.30000000,3896632.04060000,14997
1652950800000,2022-05-19 09:00:00,NEAR/USDT,5.62900000,5.67700000,5.56600000,5.65200000,666848.50000000,3755133.06480000,15241
1652947200000,2022-05-19 08:00:00,NEAR/USDT,5.85600000,5.86600000,5.62700000,5.63000000,1134544.00000000,6502619.66940000,17358
1652943600000,2022-05-19 07:00:00,NEAR/USDT,5.95500000,5.96200000,5.81600000,5.85600000,431809.80000000,2542054.14730000,9387
1652940000000,2022-05-19 06:00:00,NEAR/USDT,5.76400000,5.97700000,5.76200000,5.95400000,430150.70000000,2524795.73990000,10724
1652936400000,2022-05-19 05:00:00,NEAR/USDT,5.86600000,5.89900000,5.75000000,5.76000000,433055.50000000,2521896.94630000,8907
1652932800000,2022-05-19 04:00:00,NEAR/USDT,5.87600000,6.01200000,5.86600000,5.86600000,457596.80000000,2718278.35110000,9404
1652929200000,2022-05-19 03:00:00,NEAR/USDT,5.84100000,5.93800000,5.82900000,5.87500000,559469.00000000,3295827.30050000,13540
1652925600000,2022-05-19 02:00:00,NEAR/USDT,5.71400000,5.87100000,5.64600000,5.84000000,813601.60000000,4669639.53550000,18386
1652922000000,2022-05-19 01:00:00,NEAR/USDT,5.86300000,5.93900000,5.68000000,5.71300000,737974.20000000,4291882.49900000,15456
1652918400000,2022-05-19 00:00:00,NEAR/USDT,5.92200000,6.00000000,5.83900000,5.86300000,786550.50000000,4657611.76200000,16214
1652914800000,2022-05-18 23:00:00,NEAR/USDT,6.07800000,6.17700000,5.87100000,5.92300000,821589.80000000,4920837.92920000,18193
1652911200000,2022-05-18 22:00:00,NEAR/USDT,6.06300000,6.16700000,6.04400000,6.08000000,682533.90000000,4167139.77570000,12673
1652907600000,2022-05-18 21:00:00,NEAR/USDT,6.08100000,6.14500000,6.03600000,6.06100000,150563.50000000,916097.61260000,3818
1652904000000,2022-05-18 20:00:00,NEAR/USDT,6.14400000,6.14700000,5.97200000,6.08100000,457470.20000000,2766487.13830000,9724
1652900400000,2022-05-18 19:00:00,NEAR/USDT,6.10400000,6.19100000,6.10400000,6.14500000,392810.80000000,2417821.00440000,10596
1652896800000,2022-05-18 18:00:00,NEAR/USDT,6.02300000,6.12500000,5.97500000,6.10400000,417826.60000000,2530206.93040000,11266
1652893200000,2022-05-18 17:00:00,NEAR/USDT,6.07100000,6.09100000,5.96500000,6.02200000,541407.70000000,3263722.74170000,14132
1652889600000,2022-05-18 16:00:00,NEAR/USDT,5.98700000,6.14300000,5.89400000,6.07200000,1366838.10000000,8228114.21380000,29588
1652886000000,2022-05-18 15:00:00,NEAR/USDT,6.11300000,6.12600000,5.90600000,5.98700000,1706658.10000000,10232356.03390000,32425
1652882400000,2022-05-18 14:00:00,NEAR/USDT,6.16600000,6.26100000,6.03300000,6.11300000,945108.00000000,5798418.82220000,18125
1652878800000,2022-05-18 13:00:00,NEAR/USDT,6.23900000,6.27400000,6.13700000,6.16600000,1002755.90000000,6217502.11770000,19011
1652875200000,2022-05-18 12:00:00,NEAR/USDT,6.38200000,6.39800000,6.21800000,6.24000000,550163.10000000,3466566.33630000,11585
1652871600000,2022-05-18 11:00:00,NEAR/USDT,6.43900000,6.46000000,6.36200000,6.38100000,309232.30000000,1975592.74400000,7262
1652868000000,2022-05-18 10:00:00,NEAR/USDT,6.42100000,6.45800000,6.40100000,6.44000000,232063.20000000,1492315.78410000,6011
1652864400000,2022-05-18 09:00:00,NEAR/USDT,6.42800000,6.44800000,6.33900000,6.42100000,310712.20000000,1985701.31420000,7389
1652860800000,2022-05-18 08:00:00,NEAR/USDT,6.45500000,6.46600000,6.37000000,6.42900000,290748.60000000,1864160.03680000,7148
1652857200000,2022-05-18 07:00:00,NEAR/USDT,6.39300000,6.46200000,6.38300000,6.45600000,256689.20000000,1648240.48500000,6627
1652853600000,2022-05-18 06:00:00,NEAR/USDT,6.51800000,6.54900000,6.37400000,6.39300000,408704.50000000,2636252.46910000,9178
