https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1647475200000,2022-03-17 00:00:00,QTUM/USDT,6.016,6.060,5.914,5.927,2192612.1,13115487.5589,78093
1647388800000,2022-03-16 00:00:00,QTUM/USDT,5.723,6.044,5.665,6.015,4405260.8,25664235.3674,125215
1647302400000,2022-03-15 00:00:00,QTUM/USDT,5.746,5.847,5.490,5.724,3267987.7,18548117.8033,86718
1647216000000,2022-03-14 00:00:00,QTUM/USDT,5.548,5.795,5.468,5.745,2984739.2,16874534.5688,81636
1647129600000,2022-03-13 00:00:00,QTUM/USDT,5.754,5.898,5.509,5.544,2614662.7,15019450.4656,83430
1647043200000,2022-03-12 00:00:00,QTUM/USDT,5.851,6.023,5.741,5.754,2976156.0,17488710.6706,83673
1646956800000,2022-03-11 00:00:00,QTUM/USDT,6.019,6.022,5.676,5.852,4461593.2,26012138.8085,113713
1646870400000,2022-03-10 00:00:00,QTUM/USDT,6.036,6.253,5.734,6.021,10341193.4,61873409.0727,228742
1646784000000,2022-03-09 00:00:00,QTUM/USDT,5.741,6.110,5.736,6.036,4170200.1,24927462.7370,110783
1646697600000,2022-03-08 00:00:00,QTUM/USDT,5.685,5.872,5.635,5.739,4089832.3,23494406.3918,119612
1646611200000,2022-03-07 00:00:00,QTUM/USDT,5.753,5.944,5.495,5.684,5010494.5,28743876.2503,113386
1646524800000,2022-03-06 00:00:00,QTUM/USDT,6.075,6.134,5.726,5.752,2957508.1,17534770.2000,75769
1646438400000,2022-03-05 00:00:00,QTUM/USDT,5.921,6.119,5.711,6.074,3170472.8,18877289.1264,91212
1646352000000,2022-03-04 00:00:00,QTUM/USDT,6.388,6.419,5.807,5.920,5392097.0,33140022.1478,128674
1646265600000,2022-03-03 00:00:00,QTUM/USDT,6.488,6.684,6.232,6.389,4794323.2,31024963.2633,146696
1646179200000,2022-03-02 00:00:00,QTUM/USDT,6.701,6.769,6.329,6.485,4051238.2,26439136.4177,113890
1646092800000,2022-03-01 00:00:00,QTUM/USDT,6.486,6.807,6.480,6.700,5036640.4,33499686.3497,132563
1646006400000,2022-02-28 00:00:00,QTUM/USDT,5.870,6.499,5.744,6.485,5282716.2,32148805.9909,110649
1645920000000,2022-02-27 00:00:00,QTUM/USDT,6.138,6.207,5.689,5.871,4603622.5,27530033.7540,106983
1645833600000,2022-02-26 00:00:00,QTUM/USDT,6.136,6.356,6.043,6.136,3315153.0,20497159.0821,103821
1645747200000,2022-02-25 00:00:00,QTUM/USDT,5.873,6.211,5.752,6.136,5788696.6,34377100.3804,134534
1645660800000,2022-02-24 00:00:00,QTUM/USDT,5.758,5.908,4.980,5.873,12869261.5,70265090.4329,257381
