,symbol,date,open,date_delta,clusterLabel
75,AAVE/USDT,2022-03-08,116.8,48.0,-1
76,AAVE/USDT,2022-03-07,116.7,47.0,26
77,AAVE/USDT,2022-03-06,124.6,46.0,-1
78,AAVE/USDT,2022-03-05,124.3,45.0,-1
79,AAVE/USDT,2022-03-04,129.9,44.0,-1
80,AAVE/USDT,2022-03-03,137.7,43.0,-1
81,AAVE/USDT,2022-03-02,143.2,42.0,-1
82,AAVE/USDT,2022-03-01,145.8,41.0,343
83,AAVE/USDT,2022-02-28,131.6,40.0,-1
84,AAVE/USDT,2022-02-27,136.7,39.0,-1
85,AAVE/USDT,2022-02-26,139.5,38.0,-1
86,AAVE/USDT,2022-02-25,125.4,37.0,-1
87,AAVE/USDT,2022-02-24,130.6,36.0,-1
88,AAVE/USDT,2022-02-23,134.7,35.0,-1
89,AAVE/USDT,2022-02-22,128.6,34.0,-1
90,AAVE/USDT,2022-02-21,137.5,33.0,-1
91,AAVE/USDT,2022-02-20,146.2,32.0,343
92,AAVE/USDT,2022-02-19,145.5,31.0,343
93,AAVE/USDT,2022-02-18,153.1,30.0,343
94,AAVE/USDT,2022-02-17,170.4,29.0,346
95,AAVE/USDT,2022-02-16,172.3,28.0,346
96,AAVE/USDT,2022-02-15,161.0,27.0,348
97,AAVE/USDT,2022-02-14,158.1,26.0,348
98,AAVE/USDT,2022-02-13,162.5,25.0,348
99,AAVE/USDT,2022-02-12,163.7,24.0,-1
100,AAVE/USDT,2022-02-11,175.3,23.0,346
101,AAVE/USDT,2022-02-10,188.0,22.0,347
102,AAVE/USDT,2022-02-09,184.1,21.0,347
103,AAVE/USDT,2022-02-08,182.3,20.0,347
104,AAVE/USDT,2022-02-07,173.6,19.0,-1
105,AAVE/USDT,2022-02-06,166.2,18.0,-1
106,AAVE/USDT,2022-02-05,166.8,17.0,-1
107,AAVE/USDT,2022-02-04,153.0,16.0,-1
108,AAVE/USDT,2022-02-03,151.2,15.0,-1
109,AAVE/USDT,2022-02-02,163.8,14.0,-1
110,AAVE/USDT,2022-02-01,157.5,13.0,-1
111,AAVE/USDT,2022-01-31,149.0,12.0,-1
112,AAVE/USDT,2022-01-30,154.0,11.0,-1
113,AAVE/USDT,2022-01-29,149.0,10.0,-1
114,AAVE/USDT,2022-01-28,144.6,9.0,35
115,AAVE/USDT,2022-01-27,146.4,8.0,35
116,AAVE/USDT,2022-01-26,151.8,7.0,-1
117,AAVE/USDT,2022-01-25,152.4,6.0,-1
118,AAVE/USDT,2022-01-24,158.5,5.0,-1
119,AAVE/USDT,2022-01-23,147.1,4.0,-1
120,AAVE/USDT,2022-01-22,170.9,3.0,-1
121,AAVE/USDT,2022-01-21,198.3,2.0,-1
122,AAVE/USDT,2022-01-20,210.4,1.0,-1
123,AAVE/USDT,2022-01-19,232.4,0.0,-1
584,ADA/USDT,2022-05-22,0.5282,123.0,97
585,ADA/USDT,2022-05-21,0.5159,122.0,94
586,ADA/USDT,2022-05-20,0.5331,121.0,93
587,ADA/USDT,2022-05-19,0.5059,120.0,91
588,ADA/USDT,2022-05-18,0.5771,119.0,89
589,ADA/USDT,2022-05-17,0.5566,118.0,87
590,ADA/USDT,2022-05-16,0.5977,117.0,85
591,ADA/USDT,2022-05-15,0.5371,116.0,83
592,ADA/USDT,2022-05-14,0.5285,115.0,81
593,ADA/USDT,2022-05-13,0.4731,114.0,76
594,ADA/USDT,2022-05-12,0.5177,113.0,79
595,ADA/USDT,2022-05-11,0.6281,112.0,99
596,ADA/USDT,2022-05-10,0.6011,111.0,101
597,ADA/USDT,2022-05-09,0.74,110.0,103
598,ADA/USDT,2022-05-08,0.7598,109.0,105
599,ADA/USDT,2022-05-07,0.7828,108.0,106
600,ADA/USDT,2022-05-06,0.7876,107.0,109
601,ADA/USDT,2022-05-05,0.8984,106.0,-1
602,ADA/USDT,2022-05-04,0.7705,105.0,112
603,ADA/USDT,2022-05-03,0.7804,104.0,114
604,ADA/USDT,2022-05-02,0.7888,103.0,117
605,ADA/USDT,2022-05-01,0.7548,102.0,119
606,ADA/USDT,2022-04-30,0.8046,101.0,121
607,ADA/USDT,2022-04-29,0.843,100.0,123
608,ADA/USDT,2022-04-28,0.84,99.0,124
609,ADA/USDT,2022-04-27,0.8253,98.0,126
610,ADA/USDT,2022-04-26,0.8971,97.0,129
611,ADA/USDT,2022-04-25,0.8851,96.0,131
612,ADA/USDT,2022-04-24,0.8864,95.0,132
613,ADA/USDT,2022-04-23,0.9053,94.0,135
614,ADA/USDT,2022-04-22,0.9088,93.0,137
615,ADA/USDT,2022-04-21,0.936,92.0,139
616,ADA/USDT,2022-04-20,0.9522,91.0,141
617,ADA/USDT,2022-04-19,0.936,90.0,142
618,ADA/USDT,2022-04-18,0.9138,89.0,145
619,ADA/USDT,2022-04-17,0.9505,88.0,146
620,ADA/USDT,2022-04-16,0.955,87.0,148
621,ADA/USDT,2022-04-15,0.9317,86.0,151
622,ADA/USDT,2022-04-14,0.9739,85.0,152
623,ADA/USDT,2022-04-13,0.9538,84.0,-1
624,ADA/USDT,2022-04-12,0.9199,83.0,156
625,ADA/USDT,2022-04-11,1.0261,82.0,159
626,ADA/USDT,2022-04-10,1.044,81.0,160
627,ADA/USDT,2022-04-09,1.0244,80.0,162
628,ADA/USDT,2022-04-08,1.0881,79.0,165
629,ADA/USDT,2022-04-07,1.0518,78.0,166
630,ADA/USDT,2022-04-06,1.1699,77.0,168
631,ADA/USDT,2022-04-05,1.2118,76.0,170
632,ADA/USDT,2022-04-04,1.1862,75.0,172
633,ADA/USDT,2022-04-03,1.1555,74.0,-1
634,ADA/USDT,2022-04-02,1.1658,73.0,176
635,ADA/USDT,2022-04-01,1.1414,72.0,178
636,ADA/USDT,2022-03-31,1.1902,71.0,180
637,ADA/USDT,2022-03-30,1.1902,70.0,182
638,ADA/USDT,2022-03-29,1.1693,69.0,184
639,ADA/USDT,2022-03-28,1.1831,68.0,186
640,ADA/USDT,2022-03-27,1.1513,67.0,188
641,ADA/USDT,2022-03-26,1.0959,66.0,190
642,ADA/USDT,2022-03-25,1.1307,65.0,193
643,ADA/USDT,2022-03-24,1.1064,64.0,194
644,ADA/USDT,2022-03-23,0.9744,63.0,196
645,ADA/USDT,2022-03-22,0.9166,62.0,198
646,ADA/USDT,2022-03-21,0.878,61.0,201
647,ADA/USDT,2022-03-20,0.9025,60.0,202
648,ADA/USDT,2022-03-19,0.8512,59.0,205
649,ADA/USDT,2022-03-18,0.8355,58.0,206
650,ADA/USDT,2022-03-17,0.8383,57.0,208
651,ADA/USDT,2022-03-16,0.7989,56.0,210
652,ADA/USDT,2022-03-15,0.8023,55.0,213
653,ADA/USDT,2022-03-14,0.7864,54.0,214
654,ADA/USDT,2022-03-13,0.7891,53.0,217
655,ADA/USDT,2022-03-12,0.7881,52.0,218
656,ADA/USDT,2022-03-11,0.8063,51.0,221
657,ADA/USDT,2022-03-10,0.8486,50.0,223
658,ADA/USDT,2022-03-09,0.8012,49.0,225
659,ADA/USDT,2022-03-08,0.7925,48.0,227
660,ADA/USDT,2022-03-07,0.8222,47.0,228
661,ADA/USDT,2022-03-06,0.8644,46.0,230
662,ADA/USDT,2022-03-05,0.8438,45.0,232
663,ADA/USDT,2022-03-04,0.9013,44.0,235
664,ADA/USDT,2022-03-03,0.9383,43.0,237
