           symbol       date          open  date_delta  clusterLabel
617      ADA/USDT 2022-04-19      0.936000        90.0           142
618      ADA/USDT 2022-04-18      0.913800        89.0           145
619      ADA/USDT 2022-04-17      0.950500        88.0           146
620      ADA/USDT 2022-04-16      0.955000        87.0           148
621      ADA/USDT 2022-04-15      0.931700        86.0           151
622      ADA/USDT 2022-04-14      0.973900        85.0           152
623      ADA/USDT 2022-04-13      0.953800        84.0            -1
624      ADA/USDT 2022-04-12      0.919900        83.0           156
625      ADA/USDT 2022-04-11      1.026100        82.0           159
626      ADA/USDT 2022-04-10      1.044000        81.0           160
627      ADA/USDT 2022-04-09      1.024400        80.0           162
628      ADA/USDT 2022-04-08      1.088100        79.0           165
629      ADA/USDT 2022-04-07      1.051800        78.0           166
630      ADA/USDT 2022-04-06      1.169900        77.0           168
631      ADA/USDT 2022-04-05      1.211800        76.0           170
632      ADA/USDT 2022-04-04      1.186200        75.0           172
633      ADA/USDT 2022-04-03      1.155500        74.0            -1
634      ADA/USDT 2022-04-02      1.165800        73.0           176
635      ADA/USDT 2022-04-01      1.141400        72.0           178
636      ADA/USDT 2022-03-31      1.190200        71.0           180
637      ADA/USDT 2022-03-30      1.190200        70.0           182
638      ADA/USDT 2022-03-29      1.169300        69.0           184
639      ADA/USDT 2022-03-28      1.183100        68.0           186
640      ADA/USDT 2022-03-27      1.151300        67.0           188
641      ADA/USDT 2022-03-26      1.095900        66.0           190
642      ADA/USDT 2022-03-25      1.130700        65.0           193
643      ADA/USDT 2022-03-24      1.106400        64.0           194
644      ADA/USDT 2022-03-23      0.974400        63.0           196
645      ADA/USDT 2022-03-22      0.916600        62.0           198
646      ADA/USDT 2022-03-21      0.878000        61.0           201
647      ADA/USDT 2022-03-20      0.902500        60.0           202
648      ADA/USDT 2022-03-19      0.851200        59.0           205
649      ADA/USDT 2022-03-18      0.835500        58.0           206
650      ADA/USDT 2022-03-17      0.838300        57.0           208
651      ADA/USDT 2022-03-16      0.798900        56.0           210
652      ADA/USDT 2022-03-15      0.802300        55.0           213
653      ADA/USDT 2022-03-14      0.786400        54.0           214
654      ADA/USDT 2022-03-13      0.789100        53.0           217
655      ADA/USDT 2022-03-12      0.788100        52.0           218
656      ADA/USDT 2022-03-11      0.806300        51.0           221
657      ADA/USDT 2022-03-10      0.848600        50.0           223
658      ADA/USDT 2022-03-09      0.801200        49.0           225
659      ADA/USDT 2022-03-08      0.792500        48.0           227
660      ADA/USDT 2022-03-07      0.822200        47.0           228
661      ADA/USDT 2022-03-06      0.864400        46.0           230
662      ADA/USDT 2022-03-05      0.843800        45.0           232
663      ADA/USDT 2022-03-04      0.901300        44.0           235
664      ADA/USDT 2022-03-03      0.938300        43.0           237
665      ADA/USDT 2022-03-02      0.963300        42.0           238
666      ADA/USDT 2022-03-01      0.961700        41.0           241
667      ADA/USDT 2022-02-28      0.856100        40.0           243
668      ADA/USDT 2022-02-27      0.886600        39.0           244
669      ADA/USDT 2022-02-26      0.898100        38.0           247
670      ADA/USDT 2022-02-25      0.852300        37.0           248
671      ADA/USDT 2022-02-24      0.865700        36.0           250
672      ADA/USDT 2022-02-23      0.887100        35.0           252
673      ADA/USDT 2022-02-22      0.856300        34.0           254
674      ADA/USDT 2022-02-21      0.930800        33.0           257
675      ADA/USDT 2022-02-20      0.995800        32.0           258
676      ADA/USDT 2022-02-19      0.994900        31.0           261
677      ADA/USDT 2022-02-18      1.019300        30.0           263
678      ADA/USDT 2022-02-17      1.082600        29.0           265
679      ADA/USDT 2022-02-16      1.107400        28.0           267
680      ADA/USDT 2022-02-15      1.048800        27.0           269
681      ADA/USDT 2022-02-14      1.041500        26.0           270
682      ADA/USDT 2022-02-13      1.058000        25.0           272
683      ADA/USDT 2022-02-12      1.079100        24.0           274
684      ADA/USDT 2022-02-11      1.149800        23.0           276
685      ADA/USDT 2022-02-10      1.194000        22.0           278
686      ADA/USDT 2022-02-09      1.174400        21.0           280
687      ADA/USDT 2022-02-08      1.198200        20.0           282
688      ADA/USDT 2022-02-07      1.142300        19.0           285
689      ADA/USDT 2022-02-06      1.124500        18.0           286
690      ADA/USDT 2022-02-05      1.138300        17.0           288
691      ADA/USDT 2022-02-04      1.059900        16.0           290
692      ADA/USDT 2022-02-03      1.026100        15.0           293
693      ADA/USDT 2022-02-02      1.094800        14.0           295
694      ADA/USDT 2022-02-01      1.051100        13.0           296
695      ADA/USDT 2022-01-31      1.034200        12.0           298
696      ADA/USDT 2022-01-30      1.058700        11.0           300
697      ADA/USDT 2022-01-29      1.047900        10.0           303
698      ADA/USDT 2022-01-28      1.041400         9.0           305
699      ADA/USDT 2022-01-27      1.076700         8.0           306
700      ADA/USDT 2022-01-26      1.041400         7.0           308
701      ADA/USDT 2022-01-25      1.065300         6.0           310
702      ADA/USDT 2022-01-24      1.123800         5.0           313
703      ADA/USDT 2022-01-23      1.070600         4.0           314
704      ADA/USDT 2022-01-22      1.119900         3.0           317
705      ADA/USDT 2022-01-21      1.257500         2.0           318
706      ADA/USDT 2022-01-20      1.335300         1.0           321
707      ADA/USDT 2022-01-19      1.457800         0.0           322
1427    ALGO/USDT 2022-05-22      0.435000       123.0            97
1428    ALGO/USDT 2022-05-21      0.433200       122.0            94
1429    ALGO/USDT 2022-05-20      0.451500       121.0            93
1430    ALGO/USDT 2022-05-19      0.433600       120.0            91
1431    ALGO/USDT 2022-05-18      0.495000       119.0            89
1432    ALGO/USDT 2022-05-17      0.460400       118.0            87
1433    ALGO/USDT 2022-05-16      0.490500       117.0            85
1434    ALGO/USDT 2022-05-15      0.463600       116.0            83
1435    ALGO/USDT 2022-05-14      0.443500       115.0            81
1436    ALGO/USDT 2022-05-13      0.424100       114.0            76
1437    ALGO/USDT 2022-05-12      0.451000       113.0            79
1438    ALGO/USDT 2022-05-11      0.584800       112.0            99
