coreto	0.0034171	2022-05-28 00:42:23.350110	1586
sinovate	0.0012131	2022-05-28 00:42:23.596331	1572
aeon	0.0511264	2022-05-28 00:42:23.846551	1571
genesis-vision	0.1825208	2022-05-28 00:42:24.110798	1573
cannabiscoin	0.0103559	2022-05-28 00:42:24.361539	1578
blackhat	0.1032228	2022-05-28 00:42:24.621797	1587
pixel	0.0014348	2022-05-28 00:42:24.862041	1577
playfuel	0.0016017	2022-05-28 00:42:25.116779	1579
xensor	0.0001723	2022-05-28 00:42:25.367527	1580
dav-coin	0.0011403	2022-05-28 00:42:25.610261	1583
polkalokr	0.030979	2022-05-28 00:42:25.864011	1585
heroes-chained	0.2361492	2022-05-28 00:42:26.203350	1590
s4fe	0.0008824	2022-05-28 00:42:26.448083	1584
scala	0.0000789	2022-05-28 00:42:26.682296	1574
finxflo	0.0096429	2022-05-28 00:42:26.920010	1570
odyssey	0.0000979	2022-05-28 00:42:27.157738	1583
tripio	0.0002018	2022-05-28 00:42:27.414485	1601
fydcoin	0.0012215	2022-05-28 00:42:27.729777	1599
mytheria	0.041733	2022-05-28 00:42:27.976507	1586
ixcoin	0.0363238	2022-05-28 00:42:28.224252	1591
launchblock	0.0024088	2022-05-28 00:42:28.545051	1576
caspian	0.0018726	2022-05-28 00:42:28.792790	1559
petrodollar	0.0121185	2022-05-28 00:42:29.045532	1595
antiample	0.0017085	2022-05-28 00:42:29.293765	1585
vig	0.0007794	2022-05-28 00:42:29.604565	1629
helmet-insure	0.018076	2022-05-28 00:42:29.847778	1602
tera	0.00091	2022-05-28 00:42:30.193114	1596
props	0.0020948	2022-05-28 00:42:30.454866	1601
unmarshal	0.1062326	2022-05-28 00:42:30.654040	1599
cappasity	0.001089	2022-05-28 00:42:30.901782	1620
more-coin	0.0167223	2022-05-28 00:42:47.411512	2501
wolf-safe-poor-people-polygon	0.0000159	2022-05-28 00:42:47.679255	2510
island-coin	&lt;0.0000001	2022-05-28 00:42:47.932991	2506
axis-defi	0.0147846	2022-05-28 00:42:48.171724	2515
boutspro	0.000421	2022-05-28 00:42:48.418955	2509
showhand	5e-7	2022-05-28 00:42:48.670698	2506
road	0.0004136	2022-05-28 00:42:48.919438	2505
1millionnfts	0.2856364	2022-05-28 00:42:49.243231	2496
posex	0.0118361	2022-05-28 00:42:49.725703	2535
gene-source-code-chain	0.0000865	2022-05-28 00:42:50.081037	2507
collective	0.1233928	2022-05-28 00:42:50.336778	2511
matrexcoin	0.0014358	2022-05-28 00:42:50.584518	2510
aigang	0.0012328	2022-05-28 00:42:50.826244	2475
onix	0.0002886	2022-05-28 00:42:51.065481	2514
icobid	0.000298	2022-05-28 00:42:51.452354	2523
global-currency-reserve	0.0002875	2022-05-28 00:42:51.693073	2515
unicly-genesis-collection	0.0309336	2022-05-28 00:42:51.934806	2519
digital-money-bits	0.0002874	2022-05-28 00:42:52.201548	2518
mirrored-twitter	5.1101533	2022-05-28 00:42:52.520866	2298
arbitragect	0.0005758	2022-05-28 00:42:52.830656	2396
civitas	0.0035481	2022-05-28 00:42:53.173490	2524
dmscript	0.0002362	2022-05-28 00:42:53.422222	2555
bbscoin	3e-7	2022-05-28 00:42:53.663949	2522
theresa-may-coin	0.0002865	2022-05-28 00:42:53.899676	2524
sf-capital	0.0003987	2022-05-28 00:42:54.331603	2479
belacoin	0.0005738	2022-05-28 00:42:54.583339	2526
arion	0.0017256	2022-05-28 00:42:54.895630	2527
swirge	0.0023083	2022-05-28 00:42:55.148496	2529
pyro-network	0.0000345	2022-05-28 00:42:55.497861	2531
zper	0.0000215	2022-05-28 00:42:55.741237	2535
4new	0.0004551	2022-05-28 00:42:56.111038	2531
cryptrust	0.0000038	2022-05-28 00:42:56.379841	2531
ignition	0.017559	2022-05-28 00:42:56.626057	2532
block-logic	0.0012577	2022-05-28 00:42:56.869793	2526
desire	0.0026349	2022-05-28 00:42:57.221475	2542
aidoc	0.000034	2022-05-28 00:42:57.488065	2536
startcoin	0.0005715	2022-05-28 00:42:57.744305	2540
bitcash	0.0010878	2022-05-28 00:42:58.082139	2548
imagecoin	0.0021178	2022-05-28 00:42:58.410949	2536
showcase	0.000999	2022-05-28 00:42:58.813760	2543
genesisx	0.0023787	2022-05-28 00:42:59.661305	2527
backpacker-coin	0.0037121	2022-05-28 00:42:59.910524	2541
fuzzballs	0.0054184	2022-05-28 00:43:00.256140	2546
bloc-money	0.0011542	2022-05-28 00:43:00.511648	2545
neuromorphic-io	0.0035157	2022-05-28 00:43:00.871992	2548
innovative-bioresearch-coin	&lt;0.0000001	2022-05-28 00:43:01.345451	2549
baguette-token	0.002135	2022-05-28 00:43:01.599428	2546
bintex-futures	0.2417427	2022-05-28 00:43:01.877693	2545
depth-token	0.0000467	2022-05-28 00:43:02.208548	2544
themis	0.0000431	2022-05-28 00:43:02.523938	2537
arbidex	0.0010285	2022-05-28 00:43:02.867025	2553
cybermusic	0.0000035	2022-05-28 00:43:03.180101	2424
bitrewards	0.0000676	2022-05-28 00:43:03.444452	2550
startercoin	0.000069	2022-05-28 00:43:03.981142	2554
xovbank	0.0001611	2022-05-28 00:43:04.300943	2559
global-crypto-alliance	0.0002883	2022-05-28 00:43:04.679205	2555
coin2-1	0.000288	2022-05-28 00:43:04.939618	2557
centurion	0.0002871	2022-05-28 00:43:05.188349	2562
proxynode	0.0002015	2022-05-28 00:43:05.440283	2465
citadel	0.0027062	2022-05-28 00:43:05.828083	2535
fidex-token	7e-7	2022-05-28 00:43:06.626928	2561
bitzeny	0.0002911	2022-05-28 00:43:06.873978	2563
boat-pilot-token	0.0002925	2022-05-28 00:43:07.118700	2567
ubu-finance	0.0026552	2022-05-28 00:43:07.366701	2567
kebab-token	0.0199782	2022-05-28 00:43:07.713555	2564
zealium	0.0011966	2022-05-28 00:43:07.974409	2570
btc-lite	0.0011549	2022-05-28 00:43:08.341965	2567
grimm	0.0003528	2022-05-28 00:43:08.620752	2567
datx	0.000015	2022-05-28 00:43:08.998629	2569
helix	0.0006841	2022-05-28 00:43:09.315685	2553
eltcoin	0.0002571	2022-05-28 00:43:09.816893	2566
berncash	0.0002845	2022-05-28 00:43:10.134241	2575
twinci	0.1026537	2022-05-28 00:43:10.588997	2571
beetle-coin	0.0000689	2022-05-28 00:43:10.870662	2576
zeusnetwork	3e-7	2022-05-28 00:43:11.214938	2574
all-best-ico	0.000046	2022-05-28 00:43:11.510582	2559
firstcoin	0.0006216	2022-05-28 00:43:11.775344	2580
edrcoin	0.006915	2022-05-28 00:43:12.200086	2590
ice-rock-mining	0.001287	2022-05-28 00:43:12.554564	2582
neutron	0.0003718	2022-05-28 00:43:12.815900	2612
weblock	0.0042452	2022-05-28 00:43:13.142717	2579
zuflo-coin	0.0002871	2022-05-28 00:43:13.439095	2583
araw	0.0000092	2022-05-28 00:43:13.684833	2586
fuze-token	24.26	2022-05-28 00:43:14.167685	2585
mustangcoin	0.0284879	2022-05-28 00:43:14.414940	2588
bsclaunch	0.0090649	2022-05-28 00:43:14.670679	2588
rewardiqa	0.0017499	2022-05-28 00:43:14.925910	2585
meta-brawl	0.0005574	2022-05-28 00:43:15.238296	2585
feellike	0.0096803	2022-05-28 00:43:15.528498	2592
javascript-token	0.0021608	2022-05-28 00:43:15.883084	2591
crypto-piece	0.0002587	2022-05-28 00:43:16.227323	2597
bitcoin-classic	0.0279712	2022-05-28 00:43:16.493475	2593
bishares	0.0388749	2022-05-28 00:43:16.753794	2593
commercium	0.0003743	2022-05-28 00:43:17.074013	2595
mdtoken	0.0040236	2022-05-28 00:43:17.363264	2598
infinity-esaham	0.026853	2022-05-28 00:43:17.620005	2597
dreamcoin	0.0058828	2022-05-28 00:43:17.949357	2597
cryptobuyer	0.0002797	2022-05-28 00:43:18.264151	2602
draftcoin	0.0020765	2022-05-28 00:43:18.858101	2598
plus-coin	0.0000339	2022-05-28 00:43:19.164408	2600
plastiks	0.0283785	2022-05-28 00:43:35.213788	3377
alphadex	0.0349421	2022-05-28 00:43:35.538651	3401
apex-token	0.128466	2022-05-28 00:43:36.353552	3419
bitcoiva	9.3847772	2022-05-28 00:43:36.774157	3407
new-order	0.0338137	2022-05-28 00:43:37.016892	3404
gold-fever	0.3517266	2022-05-28 00:43:37.524372	3403
payprotocol	0.3951841	2022-05-28 00:43:37.856698	3394
butterflydao	29.43	2022-05-28 00:43:38.112450	3411
imminentverse	0.0005898	2022-05-28 00:43:38.359695	3417
blockify-games	0.0000013	2022-05-28 00:43:39.140962	3391
metashooter	0.0645716	2022-05-28 00:43:39.465758	3413
digifinextoken	0.0546125	2022-05-28 00:43:39.796579	3344
weld-money	0.0331021	2022-05-28 00:43:40.049821	3420
governance-ohm	2,675.39	2022-05-28 00:43:40.387162	3410
vader-protocol	0.0016878	2022-05-28 00:43:40.626886	3660
random	1e-7	2022-05-28 00:43:40.956692	3416
naga	0.3071827	2022-05-28 00:43:41.204425	3415
nunu-spirits	0.04006	2022-05-28 00:43:41.460172	3440
universal-store-of-value	467.03	2022-05-28 00:43:41.712400	3420
cashera	0.0034311	2022-05-28 00:43:42.114811	3425
istep	0.0258056	2022-05-28 00:43:42.433608	3431
nation3	1,396.38	2022-05-28 00:43:42.678345	3422
alchemy	0.1221546	2022-05-28 00:43:42.990145	3408
sumswap	0.0226301	2022-05-28 00:43:43.242881	3423
qqq-tokenized-stock-defichain	315.17	2022-05-28 00:43:43.567182	3450
radix-protocol	0.0837569	2022-05-28 00:43:43.885503	3352
lemonchain	1.3185459	2022-05-28 00:43:44.137140	3426
soldiernodes	0.3099767	2022-05-28 00:43:44.512212	3459
lox-network	0.0011247	2022-05-28 00:43:44.760472	3446
dmd	10.36	2022-05-28 00:43:45.100774	3414
qidao	0.2109087	2022-05-28 00:43:45.448594	3429
bitcoin-additional	28,804.17	2022-05-28 00:43:45.727336	3385
banana-task-force-ape	0.0000071	2022-05-28 00:43:46.053236	3433
zelda-inu	0.0096251	2022-05-28 00:43:46.387932	3429
jfin	1.0188214	2022-05-28 00:43:46.631700	3342
zamio	0.0222685	2022-05-28 00:43:46.895247	3448
muu-inu	0.0000017	2022-05-28 00:43:47.232250	3435
black-whale	0.4972037	2022-05-28 00:43:47.547809	3443
polypad	0.0113108	2022-05-28 00:43:47.794273	3473
spacemine	0.8099052	2022-05-28 00:43:48.123843	3460
fringe-finance	0.0053654	2022-05-28 00:43:48.459056	3435
heroes-and-empires	0.00892	2022-05-28 00:43:48.809687	3427
premia	0.6179891	2022-05-28 00:43:49.265381	3439
waykichain-governance-coin	0.0044837	2022-05-28 00:43:49.706821	3432
titi-financial	&lt;0.0000001	2022-05-28 00:43:50.031682	3489
copiosa-coin	0.0182636	2022-05-28 00:43:50.274417	3446
starsharks-sea	0.0290104	2022-05-28 00:43:50.534154	3436
port-finance	0.1627982	2022-05-28 00:43:50.789393	3463
syn-city	0.0275981	2022-05-28 00:43:51.096700	3442
bitsten-token	0.0098718	2022-05-28 00:43:51.336939	3466
aeterna	2.3697648	2022-05-28 00:43:51.577671	3449
talent	0.1679248	2022-05-28 00:43:51.829413	3428
sphynx-bsc	0.0023021	2022-05-28 00:43:52.144208	3446
ecoreal-estate	0.1919296	2022-05-28 00:43:52.398954	3451
the-doge-nft	0.0015827	2022-05-28 00:43:52.652692	3452
grape-finance	1.305942	2022-05-28 00:43:52.904441	3454
stemx	0.0286766	2022-05-28 00:43:53.215237	3455
shade-protocol	12.46	2022-05-28 00:43:53.568563	3458
giddy	0.1145295	2022-05-28 00:43:53.828271	3453
demeter-usd	0.7640999	2022-05-28 00:43:54.092069	3328
revuto	0.0576335	2022-05-28 00:43:54.334372	3462
wonderland	57.10	2022-05-28 00:43:54.570517	3467
zoro-inu	&lt;0.0000001	2022-05-28 00:43:54.825017	3461
philcoin	0.2267844	2022-05-28 00:43:55.072765	3465
strip-finance	0.0253578	2022-05-28 00:43:55.311982	3490
moonstarter	0.0082447	2022-05-28 00:43:55.569729	3457
lynkey	0.1350096	2022-05-28 00:43:55.873519	3476
metaplayers-gg	0.0128519	2022-05-28 00:43:56.121744	3481
ghostmarket	0.0458279	2022-05-28 00:43:56.365468	3464
energy8	&lt;0.0000001	2022-05-28 00:43:56.606207	3485
human	0.2260559	2022-05-28 00:43:56.858436	3471
unizen	0.6838606	2022-05-28 00:43:57.182758	3468
survival-game-online	0.0046204	2022-05-28 00:43:57.428487	3470
gym-network	0.2510738	2022-05-28 00:43:57.691780	3475
shambala	&lt;0.0000001	2022-05-28 00:43:57.943015	3477
paribu-net	1.1955852	2022-05-28 00:43:58.190753	3527
stargaze	0.0337556	2022-05-28 00:43:58.431964	3475
april	0.1378727	2022-05-28 00:43:58.931448	3474
sovi-universe	0.0021386	2022-05-28 00:43:59.182356	3469
kollect	0.0074447	2022-05-28 00:43:59.424632	3482
aen-smart-token	0.0313037	2022-05-28 00:43:59.685999	3480
bitcoin-latinum	10.20	2022-05-28 00:43:59.929227	3491
bitcoin-god	1.7179875	2022-05-28 00:44:00.349115	3482
waxe	109.12	2022-05-28 00:44:00.705570	3479
monsters-clan	0.0546708	2022-05-28 00:44:00.970110	3537
vedao	0.0386502	2022-05-28 00:44:01.212298	3424
planet-finance	89.02	2022-05-28 00:44:01.560632	3492
arbismart	0.4467094	2022-05-28 00:44:01.813374	3484
brazil-national-football-team-fan-token	0.3069489	2022-05-28 00:44:02.077460	3541
launchpool	0.3835746	2022-05-28 00:44:02.320688	3478
frontrow	0.0142312	2022-05-28 00:44:02.561420	3584
moss-carbon-credit	6.5920383	2022-05-28 00:44:02.815651	3495
upfi-network	0.0025153	2022-05-28 00:44:03.118433	3493
trustfi-network	0.0160117	2022-05-28 00:44:03.556114	3463
kridafans	0.043158	2022-05-28 00:44:03.870556	3608
run-together	0.0375947	2022-05-28 00:44:04.123188	3496
popsicle-finance	0.4973748	2022-05-28 00:44:04.368912	3468
bullieverse	0.0164802	2022-05-28 00:44:04.617164	3512
wagmi-game	0.0000042	2022-05-28 00:44:04.864903	3502
ziktalk	0.0202149	2022-05-28 00:44:05.115644	3522
